register,use_case,configuration,fault_model,successes,total_simulations,success_rate_percent
/tb/top_i/core_region_i/RISCV_CORE/cs_registers_i/tcr_q,buffer_overflow,Baseline,single_bitflip_spatial,788,21216,3.714178
/tb/top_i/core_region_i/RISCV_CORE/cs_registers_i/tpr_q,buffer_overflow,Baseline,single_bitflip_spatial,717,21216,3.379525
/tb/top_i/core_region_i/RISCV_CORE/ex_stage_i/rs1_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,7,756,0.925926
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/alu_operand_a_ex_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,3,756,0.396825
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/alu_operand_b_ex_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,10,756,1.322751
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/alu_operand_c_ex_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/alu_operator_o_mode,buffer_overflow,Baseline,single_bitflip_spatial,24,1506,1.593625
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/check_d_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,11,756,1.455026
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/check_s1_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,11,756,1.455026
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/check_s2_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/is_store_post_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/memory_set_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,125,756,16.534392
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/regfile_alu_waddr_ex_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,58,3720,1.559140
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/register_set_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,10,756,1.322751
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[0],buffer_overflow,Baseline,single_bitflip_spatial,4,756,0.529101
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[10],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[11],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[12],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[13],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[14],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[15],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[16],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[17],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[18],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[19],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[1],buffer_overflow,Baseline,single_bitflip_spatial,126,756,16.666667
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[20],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[21],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[22],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[23],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[24],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[25],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[26],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[27],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[28],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[29],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[2],buffer_overflow,Baseline,single_bitflip_spatial,2,756,0.264550
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[30],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[31],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[3],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[4],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[5],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[6],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[7],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[8],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[9],buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/store_dest_addr_ex_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/store_source_ex_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/use_store_ops_ex_o,buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/if_stage_i/pc_id_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,7,756,0.925926
/tb/top_i/core_region_i/RISCV_CORE/if_stage_i/pc_if_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,122,756,16.137566
/tb/top_i/core_region_i/RISCV_CORE/load_store_unit_i/data_type_q_tag,buffer_overflow,Baseline,single_bitflip_spatial,24,1506,1.593625
/tb/top_i/core_region_i/RISCV_CORE/load_store_unit_i/data_we_q_tag,buffer_overflow,Baseline,single_bitflip_spatial,12,756,1.587302
/tb/top_i/core_region_i/RISCV_CORE/load_store_unit_i/rdata_offset_q_tag,buffer_overflow,Baseline,single_bitflip_spatial,24,1506,1.593625
/tb/top_i/core_region_i/RISCV_CORE/load_store_unit_i/rdata_q_tag,buffer_overflow,Baseline,single_bitflip_spatial,48,2988,1.606426
/tb/top_i/core_region_i/RISCV_CORE/ex_stage_i/rs1_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/alu_operand_a_ex_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/alu_operand_b_ex_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/alu_operand_c_ex_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/alu_operator_o_mode,buffer_overflow,Baseline,multi_bitflip_reg,0,24,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/check_d_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/check_s1_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/check_s2_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/is_store_post_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/memory_set_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,1,12,8.333333
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/regfile_alu_waddr_ex_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,192,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/register_set_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[0],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[10],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[11],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[12],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[13],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[14],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[15],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[16],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[17],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[18],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[19],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[1],buffer_overflow,Baseline,multi_bitflip_reg,1,12,8.333333
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[20],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[21],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[22],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[23],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[24],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[25],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[26],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[27],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[28],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[29],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[2],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[30],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[31],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[3],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[4],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[5],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[6],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/registers_i_tag/rf_reg[7],buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
