strategy,protection,rtl_name,logical_name
1,hamming,cs_registers_i/tcr_q,tcr_q
1,hamming,cs_registers_i/tpr_q,tpr_q
1,hamming,ex_stage_i/rs1_o_tag,rs1_o_tag
1,hamming,hamming_code_encoder_26/hc_o_26,hc_o_26
1,hamming,hamming_code_encoder_addr_rf_tag/hc_o_5,hc_o_5
1,hamming,hamming_code_encoder_rf_tag/hc_o_rf_tag,hc_o_rf_tag
1,hamming,hamming_code_encoder_tcr/hc_o_32,tcr/hc_o_32
1,hamming,hamming_code_encoder_tpr/hc_o_32,tpr/hc_o_32
1,hamming,id_stage_i/alu_operand_a_ex_o_tag,alu_operand_a_ex_o_tag
1,hamming,id_stage_i/alu_operand_b_ex_o_tag,alu_operand_b_ex_o_tag
1,hamming,id_stage_i/alu_operand_c_ex_o_tag,alu_operand_c_ex_o_tag
1,hamming,id_stage_i/alu_operator_o_mode,alu_operator_o_mode
1,hamming,id_stage_i/check_d_o_tag,check_d_o_tag
1,hamming,id_stage_i/check_s1_o_tag,check_s1_o_tag
1,hamming,id_stage_i/check_s2_o_tag,check_s2_o_tag
1,hamming,id_stage_i/is_store_post_o_tag,is_store_post_o_tag
1,hamming,id_stage_i/memory_set_o_tag,memory_set_o_tag
1,hamming,id_stage_i/regfile_alu_waddr_ex_o_tag,regfile_alu_waddr_ex_o_tag
1,hamming,id_stage_i/register_set_o_tag,register_set_o_tag
1,hamming,id_stage_i/store_dest_addr_ex_o_tag,store_dest_addr_ex_o_tag
1,hamming,id_stage_i/store_source_ex_o_tag,store_source_ex_o_tag
1,hamming,id_stage_i/use_store_ops_ex_o,use_store_ops_ex_o
1,hamming,if_stage_i/pc_id_o_tag,pc_id_o_tag
1,hamming,if_stage_i/pc_if_o_tag,pc_if_o_tag
1,hamming,load_store_unit_i/data_type_q_tag,data_type_q_tag
1,hamming,load_store_unit_i/data_we_q_tag,data_we_q_tag
1,hamming,load_store_unit_i/rdata_offset_q_tag,rdata_offset_q_tag
1,hamming,load_store_unit_i/rdata_q_tag,rdata_q_tag
1,hamming,registers_i_tag/rf_reg[0],rf_reg[0]
1,hamming,registers_i_tag/rf_reg[10],rf_reg[10]
1,hamming,registers_i_tag/rf_reg[11],rf_reg[11]
1,hamming,registers_i_tag/rf_reg[12],rf_reg[12]
1,hamming,registers_i_tag/rf_reg[13],rf_reg[13]
1,hamming,registers_i_tag/rf_reg[14],rf_reg[14]
1,hamming,registers_i_tag/rf_reg[15],rf_reg[15]
1,hamming,registers_i_tag/rf_reg[16],rf_reg[16]
1,hamming,registers_i_tag/rf_reg[17],rf_reg[17]
1,hamming,registers_i_tag/rf_reg[18],rf_reg[18]
1,hamming,registers_i_tag/rf_reg[19],rf_reg[19]
1,hamming,registers_i_tag/rf_reg[1],rf_reg[1]
1,hamming,registers_i_tag/rf_reg[20],rf_reg[20]
1,hamming,registers_i_tag/rf_reg[21],rf_reg[21]
1,hamming,registers_i_tag/rf_reg[22],rf_reg[22]
1,hamming,registers_i_tag/rf_reg[23],rf_reg[23]
1,hamming,registers_i_tag/rf_reg[24],rf_reg[24]
1,hamming,registers_i_tag/rf_reg[25],rf_reg[25]
1,hamming,registers_i_tag/rf_reg[26],rf_reg[26]
1,hamming,registers_i_tag/rf_reg[27],rf_reg[27]
1,hamming,registers_i_tag/rf_reg[28],rf_reg[28]
1,hamming,registers_i_tag/rf_reg[29],rf_reg[29]
1,hamming,registers_i_tag/rf_reg[2],rf_reg[2]
1,hamming,registers_i_tag/rf_reg[30],rf_reg[30]
1,hamming,registers_i_tag/rf_reg[31],rf_reg[31]
1,hamming,registers_i_tag/rf_reg[3],rf_reg[3]
1,hamming,registers_i_tag/rf_reg[4],rf_reg[4]
1,hamming,registers_i_tag/rf_reg[5],rf_reg[5]
1,hamming,registers_i_tag/rf_reg[6],rf_reg[6]
1,hamming,registers_i_tag/rf_reg[7],rf_reg[7]
1,hamming,registers_i_tag/rf_reg[8],rf_reg[8]
1,hamming,registers_i_tag/rf_reg[9],rf_reg[9]
1,secded,cs_registers_i/tcr_q,tcr_q
1,secded,cs_registers_i/tpr_q,tpr_q
1,secded,ex_stage_i/rs1_o_tag,rs1_o_tag
1,secded,id_stage_i/alu_operand_a_ex_o_tag,alu_operand_a_ex_o_tag
1,secded,id_stage_i/alu_operand_b_ex_o_tag,alu_operand_b_ex_o_tag
1,secded,id_stage_i/alu_operand_c_ex_o_tag,alu_operand_c_ex_o_tag
1,secded,id_stage_i/alu_operator_o_mode,alu_operator_o_mode
1,secded,id_stage_i/check_d_o_tag,check_d_o_tag
1,secded,id_stage_i/check_s1_o_tag,check_s1_o_tag
1,secded,id_stage_i/check_s2_o_tag,check_s2_o_tag
1,secded,id_stage_i/is_store_post_o_tag,is_store_post_o_tag
1,secded,id_stage_i/memory_set_o_tag,memory_set_o_tag
1,secded,id_stage_i/regfile_alu_waddr_ex_o_tag,regfile_alu_waddr_ex_o_tag
1,secded,id_stage_i/register_set_o_tag,register_set_o_tag
1,secded,id_stage_i/store_dest_addr_ex_o_tag,store_dest_addr_ex_o_tag
1,secded,id_stage_i/store_source_ex_o_tag,store_source_ex_o_tag
1,secded,id_stage_i/use_store_ops_ex_o,use_store_ops_ex_o
1,secded,if_stage_i/pc_id_o_tag,pc_id_o_tag
1,secded,if_stage_i/pc_if_o_tag,pc_if_o_tag
1,secded,load_store_unit_i/data_type_q_tag,data_type_q_tag
1,secded,load_store_unit_i/data_we_q_tag,data_we_q_tag
1,secded,load_store_unit_i/rdata_offset_q_tag,rdata_offset_q_tag
1,secded,load_store_unit_i/rdata_q_tag,rdata_q_tag
1,secded,registers_i_tag/rf_reg[0],rf_reg[0]
1,secded,registers_i_tag/rf_reg[10],rf_reg[10]
1,secded,registers_i_tag/rf_reg[11],rf_reg[11]
1,secded,registers_i_tag/rf_reg[12],rf_reg[12]
1,secded,registers_i_tag/rf_reg[13],rf_reg[13]
1,secded,registers_i_tag/rf_reg[14],rf_reg[14]
1,secded,registers_i_tag/rf_reg[15],rf_reg[15]
1,secded,registers_i_tag/rf_reg[16],rf_reg[16]
1,secded,registers_i_tag/rf_reg[17],rf_reg[17]
1,secded,registers_i_tag/rf_reg[18],rf_reg[18]
1,secded,registers_i_tag/rf_reg[19],rf_reg[19]
1,secded,registers_i_tag/rf_reg[1],rf_reg[1]
1,secded,registers_i_tag/rf_reg[20],rf_reg[20]
1,secded,registers_i_tag/rf_reg[21],rf_reg[21]
1,secded,registers_i_tag/rf_reg[22],rf_reg[22]
1,secded,registers_i_tag/rf_reg[23],rf_reg[23]
1,secded,registers_i_tag/rf_reg[24],rf_reg[24]
1,secded,registers_i_tag/rf_reg[25],rf_reg[25]
1,secded,registers_i_tag/rf_reg[26],rf_reg[26]
1,secded,registers_i_tag/rf_reg[27],rf_reg[27]
1,secded,registers_i_tag/rf_reg[28],rf_reg[28]
1,secded,registers_i_tag/rf_reg[29],rf_reg[29]
1,secded,registers_i_tag/rf_reg[2],rf_reg[2]
1,secded,registers_i_tag/rf_reg[30],rf_reg[30]
