register_pair,successful_simulations,total_simulations,success_rate,success_rate_percent
csr_group20/hc_o + tcr_execute/hc_o,48,560,0.08571428571428572,8.571428571428571
alu_operator_o_mode + id_stage/hc_o,310,3864,0.08022774327122154,8.022774327122153
alu_operator_o_mode + alu_operator_o_mode/hc_o,164,2128,0.07706766917293233,7.7067669172932325
alu_operator_o_mode + hc_o_26,288,3864,0.07453416149068323,7.453416149068323
tcr_execute/hc_o + tcr_load_store/hc_o,79,1064,0.07424812030075188,7.424812030075188
csr_group12/hc_o + csr_group20/hc_o,79,1064,0.07424812030075188,7.424812030075188
csr_group15/hc_o + csr_group20/hc_o,79,1064,0.07424812030075188,7.424812030075188
alu_operator_o_mode + sp_o_26,10,140,0.07142857142857142,7.142857142857142
tcr_load_store/hc_o + tpr_load_store_mode/hc_o,137,2044,0.06702544031311154,6.702544031311154
tcr_load_store/hc_o + tpr_load_store_enable/hc_o,135,2044,0.06604696673189824,6.604696673189824
tcr_execute/hc_o + tpr_load_store_enable/hc_o,66,1064,0.06203007518796992,6.203007518796992
csr_group12/hc_o + tcr_execute/hc_o,66,1064,0.06203007518796992,6.203007518796992
csr_group15/hc_o + tcr_execute/hc_o,66,1064,0.06203007518796992,6.203007518796992
csr_group20/hc_o + id_group0/hc_o,65,1064,0.06109022556390977,6.109022556390977
csr_group20/hc_o + hc_o_rf_tag,446,7504,0.05943496801705757,5.943496801705757
alu_operator_o_mode + tcr_load_store/hc_o,63,1064,0.05921052631578947,5.921052631578947
csr_group20/hc_o + id_group1/hc_o,62,1064,0.05827067669172932,5.827067669172932
alu_operator_o_mode/hc_o + tcr_load_store/hc_o,119,2044,0.05821917808219178,5.821917808219178
csr_group20/hc_o + regfile_alu_waddr_ex_o_tag,224,3864,0.057971014492753624,5.797101449275362
tcr_execute/hc_o + tpr_load_store_mode/hc_o,61,1064,0.05733082706766917,5.733082706766917
csr_group20/hc_o + id_group9/hc_o,32,560,0.05714285714285714,5.714285714285714
rf_reg[15] + sp_o_rf_tag,4,70,0.05714285714285714,5.714285714285714
csr_group20/hc_o + rdata_q_tag,112,2016,0.05555555555555555,5.555555555555555
csr_group20/hc_o + id_group2/hc_o,59,1064,0.05545112781954887,5.545112781954887
csr_group20/hc_o + id_group4/hc_o,59,1064,0.05545112781954887,5.545112781954887
csr_group20/hc_o + id_group5/hc_o,59,1064,0.05545112781954887,5.545112781954887
hc_o_rf_tag + rf_reg[15],1012,18760,0.05394456289978678,5.394456289978678
tcr_load_store/hc_o + use_store_ops_ex_o/hc_o,57,1064,0.05357142857142857,5.357142857142857
csr_group20/hc_o + id_group3/hc_o,57,1064,0.05357142857142857,5.357142857142857
alu_operator_o_mode/hc_o + tcr_execute/hc_o,56,1064,0.05263157894736842,5.263157894736842
store_dest_addr_ex_o_tag/hc_o + tcr_load_store/hc_o,56,1064,0.05263157894736842,5.263157894736842
check_s1_o_tag/hc_o + tcr_load_store/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group0/hc_o + csr_group20/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group1/hc_o + csr_group20/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group2/hc_o + csr_group20/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + csr_group3/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + csr_group4/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + csr_group5/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + csr_group6/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + csr_group7/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + csr_group8/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + csr_group9/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group10/hc_o + csr_group20/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group11/hc_o + csr_group20/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group13/hc_o + csr_group20/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group16/hc_o + csr_group20/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + lsu_group2/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + lsu_group3/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + lsu_group4/hc_o,56,1064,0.05263157894736842,5.263157894736842
csr_group20/hc_o + lsu_group5/hc_o,56,1064,0.05263157894736842,5.263157894736842
alu_operand_a_ex_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + use_store_ops_ex_o,28,532,0.05263157894736842,5.263157894736842
