register,successful_simulations,total_simulations,success_rate,success_rate_percent
csr_group20/hc_o,3573,74536,0.047936567564666736,4.793656756466674
tcr_load_store/hc_o,6078,129668,0.046873553999444734,4.687355399944473
tcr_execute/hc_o,4957,143276,0.03459755995421424,3.4597559954214243
tpr_load_store_mode/hc_o,3442,129668,0.02654471419317025,2.654471419317025
tpr_load_store_enable/hc_o,3419,129668,0.02636733812505784,2.636733812505784
csr_group12/hc_o,3693,140882,0.026213426839482686,2.6213426839482685
csr_group15/hc_o,3686,140882,0.026163739867406766,2.6163739867406766
tpr/hc_o_32,22271,980700,0.022709289283165086,2.2709289283165086
tcr/hc_o_32,20424,980700,0.020825940654634445,2.0825940654634447
alu_operator_o_mode,6418,319984,0.02005725286264313,2.005725286264313
id_stage/hc_o,5700,308770,0.018460342649868833,1.8460342649868833
hc_o_26,5421,295386,0.01835225772379192,1.8352257723791918
rf_reg[15],2833,160748,0.01762385846169159,1.762385846169159
alu_operator_o_mode/hc_o,4119,239064,0.017229695813673326,1.7229695813673327
id_group0/hc_o,1815,140882,0.012883122045399696,1.2883122045399698
rf_reg[1],1705,160748,0.01060666384651753,1.060666384651753
use_store_ops_ex_o/hc_o,1257,126728,0.009918881383751027,0.9918881383751027
check_s1_o_tag/hc_o,1247,126728,0.009839972223975759,0.9839972223975759
store_dest_addr_ex_o_tag/hc_o,1245,126728,0.009824190392020706,0.9824190392020706
memory_set_o_tag/hc_o,1241,126728,0.009792626728110598,0.9792626728110598
alu_operand_b_ex_o_tag/hc_o,1213,126728,0.009571681080739853,0.9571681080739852
id_group1/hc_o,1329,140882,0.009433426555557133,0.9433426555557133
alu_operand_a_ex_o_tag/hc_o,1193,126728,0.009413862761189318,0.9413862761189319
pc_if_o_tag/hc_o,1177,126728,0.009287608105548892,0.9287608105548892
id_group2/hc_o,1292,140882,0.009170795417441547,0.9170795417441547
lsu_reg/hc_o,752,82348,0.009131976490017972,0.9131976490017972
id_group9/hc_o,656,74536,0.008801116239132769,0.8801116239132769
use_store_ops_ex_o,1276,160748,0.007937890362555055,0.7937890362555055
check_s1_o_tag,1261,160748,0.00784457660437455,0.7844576604374549
store_dest_addr_ex_o_tag,1246,160748,0.007751262846194043,0.7751262846194042
memory_set_o_tag,1238,160748,0.007701495508497773,0.7701495508497772
alu_operand_b_ex_o_tag,1206,160748,0.007502426157712693,0.7502426157712693
alu_operand_a_ex_o_tag,1174,160748,0.007303356806927614,0.7303356806927613
hc_o_rf_tag,23330,3441536,0.006778949864246662,0.6778949864246663
id_group4/hc_o,955,140882,0.006778722618929317,0.6778722618929317
if_stage/hc_o,1490,231252,0.006443187518378219,0.644318751837822
id_group5/hc_o,842,140882,0.005976632926846581,0.5976632926846581
id_group3/hc_o,827,140882,0.005870160843826748,0.5870160843826748
hc_o_5,3456,607152,0.005692149577041663,0.5692149577041663
pc_if_o_tag,898,160748,0.0055863836564063,0.5586383656406301
regfile_alu_waddr_ex_o_tag,11235,2055116,0.00546684469392482,0.5466844693924819
ex_stage/hc_o,237,47880,0.004949874686716792,0.4949874686716792
store_source_ex_o_tag,776,160748,0.004827431756538184,0.48274317565381836
alu_operand_c_ex_o_tag,769,160748,0.0047838853360539476,0.47838853360539474
tpr_q,4421,946176,0.004672492221320346,0.4672492221320346
rdata_q_tag,5191,1118656,0.004640389896447166,0.46403898964471657
is_store_post_o_tag,745,160748,0.0046345833229651376,0.46345833229651373
check_d_o_tag,727,160748,0.0045226068131485305,0.45226068131485303
data_we_q_tag,708,160748,0.004404409386119889,0.4404409386119889
rf_reg[6],703,160748,0.0043733048000597205,0.437330480005972
rf_reg[16],703,160748,0.0043733048000597205,0.437330480005972
rf_reg[19],703,160748,0.0043733048000597205,0.437330480005972
rf_reg[20],703,160748,0.0043733048000597205,0.437330480005972
rf_reg[22],703,160748,0.0043733048000597205,0.437330480005972
rf_reg[25],703,160748,0.0043733048000597205,0.437330480005972
rf_reg[3],699,160748,0.004348421131211586,0.43484211312115856
rf_reg[4],698,160748,0.0043422002139995525,0.43422002139995525
rf_reg[5],698,160748,0.0043422002139995525,0.43422002139995525
rf_reg[7],698,160748,0.0043422002139995525,0.43422002139995525
rf_reg[10],698,160748,0.0043422002139995525,0.43422002139995525
rf_reg[12],698,160748,0.0043422002139995525,0.43422002139995525
rf_reg[18],698,160748,0.0043422002139995525,0.43422002139995525
rf_reg[21],698,160748,0.0043422002139995525,0.43422002139995525
rf_reg[24],698,160748,0.0043422002139995525,0.43422002139995525
rs1_o_tag,693,160748,0.004311095627939384,0.43110956279393836
