register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
alu_operand_a_ex_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg_multi,19,3960,0.479798
alu_operand_a_ex_o_tag,buffer_overflow,hamming,1,single_bitflip_spatial,0,906,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg_multi,25,4104,0.609162
alu_operand_a_ex_o_tag,buffer_overflow,hamming,2,single_bitflip_spatial,0,936,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg_multi,24,4728,0.507614
alu_operand_a_ex_o_tag,buffer_overflow,hamming,3,single_bitflip_spatial,0,1140,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg_multi,24,5448,0.440529
alu_operand_a_ex_o_tag,buffer_overflow,hamming,4,single_bitflip_spatial,0,1362,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg_multi,24,5976,0.401606
alu_operand_a_ex_o_tag,buffer_overflow,hamming,5,single_bitflip_spatial,0,1440,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,1,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,1,multi_bitflip_reg_multi,5,4080,0.122549
alu_operand_a_ex_o_tag,buffer_overflow,secded,1,single_bitflip_spatial,0,936,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,2,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,2,multi_bitflip_reg_multi,4,4272,0.093633
alu_operand_a_ex_o_tag,buffer_overflow,secded,2,single_bitflip_spatial,0,978,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,3,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,3,multi_bitflip_reg_multi,4,5304,0.075415
alu_operand_a_ex_o_tag,buffer_overflow,secded,3,single_bitflip_spatial,0,1284,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,4,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,4,multi_bitflip_reg_multi,0,6360,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,4,single_bitflip_spatial,0,1590,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,5,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,5,multi_bitflip_reg_multi,0,6912,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,secded,5,single_bitflip_spatial,0,1674,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg_multi,1,1968,0.050813
alu_operand_a_ex_o_tag,buffer_overflow,simple_parity,1,single_bitflip_spatial,1,786,0.127226
alu_operand_a_ex_o_tag,buffer_overflow,wop,1,multi_bitflip_reg,0,12,0.000000
alu_operand_a_ex_o_tag,buffer_overflow,wop,1,multi_bitflip_reg_multi,4,1848,0.216450
alu_operand_a_ex_o_tag,buffer_overflow,wop,1,single_bitflip_spatial,3,756,0.396825
