register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
alu_operand_b_ex_o_tag,secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,116,5280,2.196970
alu_operand_b_ex_o_tag,secretFunction,hamming,1,single_bitflip_spatial,30,1208,2.483444
alu_operand_b_ex_o_tag,secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,134,5472,2.448830
alu_operand_b_ex_o_tag,secretFunction,hamming,2,single_bitflip_spatial,24,1248,1.923077
alu_operand_b_ex_o_tag,secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,64,6304,1.015228
alu_operand_b_ex_o_tag,secretFunction,hamming,3,single_bitflip_spatial,2,1520,0.131579
alu_operand_b_ex_o_tag,secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,64,7264,0.881057
alu_operand_b_ex_o_tag,secretFunction,hamming,4,single_bitflip_spatial,2,1816,0.110132
alu_operand_b_ex_o_tag,secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,80,7968,1.004016
alu_operand_b_ex_o_tag,secretFunction,hamming,5,single_bitflip_spatial,4,1920,0.208333
alu_operand_b_ex_o_tag,secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,secded,1,multi_bitflip_reg_multi,54,5440,0.992647
alu_operand_b_ex_o_tag,secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
alu_operand_b_ex_o_tag,secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,secded,2,multi_bitflip_reg_multi,66,5696,1.158708
alu_operand_b_ex_o_tag,secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
alu_operand_b_ex_o_tag,secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,secded,3,multi_bitflip_reg_multi,29,7072,0.410068
alu_operand_b_ex_o_tag,secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
alu_operand_b_ex_o_tag,secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,secded,4,multi_bitflip_reg_multi,19,8480,0.224057
alu_operand_b_ex_o_tag,secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
alu_operand_b_ex_o_tag,secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,secded,5,multi_bitflip_reg_multi,7,9216,0.075955
alu_operand_b_ex_o_tag,secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
alu_operand_b_ex_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
alu_operand_b_ex_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,31,2624,1.181402
alu_operand_b_ex_o_tag,secretFunction,simple_parity,1,single_bitflip_spatial,25,1048,2.385496
alu_operand_b_ex_o_tag,secretFunction,wop,1,multi_bitflip_reg,1,16,6.250000
alu_operand_b_ex_o_tag,secretFunction,wop,1,multi_bitflip_reg_multi,165,2464,6.696429
alu_operand_b_ex_o_tag,secretFunction,wop,1,single_bitflip_spatial,131,1008,12.996032
