register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
alu_operand_c_ex_o_tag,secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,79,5280,1.496212
alu_operand_c_ex_o_tag,secretFunction,hamming,1,single_bitflip_spatial,12,1208,0.993377
alu_operand_c_ex_o_tag,secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,91,5472,1.663012
alu_operand_c_ex_o_tag,secretFunction,hamming,2,single_bitflip_spatial,12,1248,0.961538
alu_operand_c_ex_o_tag,secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,62,6304,0.983503
alu_operand_c_ex_o_tag,secretFunction,hamming,3,single_bitflip_spatial,0,1520,0.000000
alu_operand_c_ex_o_tag,secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,62,7264,0.853524
alu_operand_c_ex_o_tag,secretFunction,hamming,4,single_bitflip_spatial,0,1816,0.000000
alu_operand_c_ex_o_tag,secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,74,7968,0.928715
alu_operand_c_ex_o_tag,secretFunction,hamming,5,single_bitflip_spatial,1,1920,0.052083
alu_operand_c_ex_o_tag,secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,secded,1,multi_bitflip_reg_multi,40,5440,0.735294
alu_operand_c_ex_o_tag,secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
alu_operand_c_ex_o_tag,secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,secded,2,multi_bitflip_reg_multi,54,5696,0.948034
alu_operand_c_ex_o_tag,secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
alu_operand_c_ex_o_tag,secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,secded,3,multi_bitflip_reg_multi,28,7072,0.395928
alu_operand_c_ex_o_tag,secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
alu_operand_c_ex_o_tag,secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,secded,4,multi_bitflip_reg_multi,18,8480,0.212264
alu_operand_c_ex_o_tag,secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
alu_operand_c_ex_o_tag,secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,secded,5,multi_bitflip_reg_multi,5,9216,0.054253
alu_operand_c_ex_o_tag,secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
alu_operand_c_ex_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,8,2624,0.304878
alu_operand_c_ex_o_tag,secretFunction,simple_parity,1,single_bitflip_spatial,6,1048,0.572519
alu_operand_c_ex_o_tag,secretFunction,wop,1,multi_bitflip_reg,0,16,0.000000
alu_operand_c_ex_o_tag,secretFunction,wop,1,multi_bitflip_reg_multi,28,2464,1.136364
alu_operand_c_ex_o_tag,secretFunction,wop,1,single_bitflip_spatial,29,1008,2.876984
