register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
alu_operand_c_ex_o_tag/hc_o,secretFunction,hamming,3,multi_bitflip_reg,0,32,0.000000
alu_operand_c_ex_o_tag/hc_o,secretFunction,hamming,3,multi_bitflip_reg_multi,124,12544,0.988520
alu_operand_c_ex_o_tag/hc_o,secretFunction,hamming,3,single_bitflip_spatial,0,3032,0.000000
alu_operand_c_ex_o_tag/hc_o,secretFunction,hamming,4,multi_bitflip_reg,0,32,0.000000
alu_operand_c_ex_o_tag/hc_o,secretFunction,hamming,4,multi_bitflip_reg_multi,124,14464,0.857301
alu_operand_c_ex_o_tag/hc_o,secretFunction,hamming,4,single_bitflip_spatial,0,3624,0.000000
alu_operand_c_ex_o_tag/hc_o,secretFunction,secded,3,multi_bitflip_reg,0,32,0.000000
alu_operand_c_ex_o_tag/hc_o,secretFunction,secded,3,multi_bitflip_reg_multi,42,14080,0.298295
alu_operand_c_ex_o_tag/hc_o,secretFunction,secded,3,single_bitflip_spatial,0,3416,0.000000
alu_operand_c_ex_o_tag/hc_o,secretFunction,secded,4,multi_bitflip_reg,0,32,0.000000
alu_operand_c_ex_o_tag/hc_o,secretFunction,secded,4,multi_bitflip_reg_multi,27,16896,0.159801
alu_operand_c_ex_o_tag/hc_o,secretFunction,secded,4,single_bitflip_spatial,0,4232,0.000000
