register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
alu_operator_o_mode,buffer_overflow,hamming,1,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,hamming,1,multi_bitflip_reg_multi,43,7872,0.546240
alu_operator_o_mode,buffer_overflow,hamming,1,single_bitflip_spatial,4,1806,0.221484
alu_operator_o_mode,buffer_overflow,hamming,2,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,hamming,2,multi_bitflip_reg_multi,56,8160,0.686275
alu_operator_o_mode,buffer_overflow,hamming,2,single_bitflip_spatial,3,1866,0.160772
alu_operator_o_mode,buffer_overflow,hamming,3,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,hamming,3,multi_bitflip_reg_multi,48,9408,0.510204
alu_operator_o_mode,buffer_overflow,hamming,3,single_bitflip_spatial,0,2274,0.000000
alu_operator_o_mode,buffer_overflow,hamming,4,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,hamming,4,multi_bitflip_reg_multi,48,10848,0.442478
alu_operator_o_mode,buffer_overflow,hamming,4,single_bitflip_spatial,0,2718,0.000000
alu_operator_o_mode,buffer_overflow,hamming,5,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,hamming,5,multi_bitflip_reg_multi,48,11904,0.403226
alu_operator_o_mode,buffer_overflow,hamming,5,single_bitflip_spatial,0,2874,0.000000
alu_operator_o_mode,buffer_overflow,secded,1,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,secded,1,multi_bitflip_reg_multi,14,8112,0.172584
alu_operator_o_mode,buffer_overflow,secded,1,single_bitflip_spatial,0,1866,0.000000
alu_operator_o_mode,buffer_overflow,secded,2,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,secded,2,multi_bitflip_reg_multi,11,8496,0.129473
alu_operator_o_mode,buffer_overflow,secded,2,single_bitflip_spatial,0,1950,0.000000
alu_operator_o_mode,buffer_overflow,secded,3,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,secded,3,multi_bitflip_reg_multi,6,10560,0.056818
alu_operator_o_mode,buffer_overflow,secded,3,single_bitflip_spatial,0,2562,0.000000
alu_operator_o_mode,buffer_overflow,secded,4,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,secded,4,multi_bitflip_reg_multi,0,12672,0.000000
alu_operator_o_mode,buffer_overflow,secded,4,single_bitflip_spatial,0,3174,0.000000
alu_operator_o_mode,buffer_overflow,secded,5,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,secded,5,multi_bitflip_reg_multi,0,13776,0.000000
alu_operator_o_mode,buffer_overflow,secded,5,single_bitflip_spatial,0,3342,0.000000
alu_operator_o_mode,buffer_overflow,simple_parity,1,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,simple_parity,1,multi_bitflip_reg_multi,2,3888,0.051440
alu_operator_o_mode,buffer_overflow,simple_parity,1,single_bitflip_spatial,2,1566,0.127714
alu_operator_o_mode,buffer_overflow,wop,1,multi_bitflip_reg,0,24,0.000000
alu_operator_o_mode,buffer_overflow,wop,1,multi_bitflip_reg_multi,12,3648,0.328947
alu_operator_o_mode,buffer_overflow,wop,1,single_bitflip_spatial,24,1506,1.593625
