register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
alu_operator_o_mode,secretFunction,hamming,1,multi_bitflip_reg,0,32,0.000000
alu_operator_o_mode,secretFunction,hamming,1,multi_bitflip_reg_multi,421,10496,4.011052
alu_operator_o_mode,secretFunction,hamming,1,single_bitflip_spatial,94,2408,3.903654
alu_operator_o_mode,secretFunction,hamming,2,multi_bitflip_reg,2,32,6.250000
alu_operator_o_mode,secretFunction,hamming,2,multi_bitflip_reg_multi,1026,10880,9.430147
alu_operator_o_mode,secretFunction,hamming,2,single_bitflip_spatial,86,2488,3.456592
alu_operator_o_mode,secretFunction,hamming,3,multi_bitflip_reg,2,32,6.250000
alu_operator_o_mode,secretFunction,hamming,3,multi_bitflip_reg_multi,890,12544,7.095026
alu_operator_o_mode,secretFunction,hamming,3,single_bitflip_spatial,14,3032,0.461741
alu_operator_o_mode,secretFunction,hamming,4,multi_bitflip_reg,2,32,6.250000
alu_operator_o_mode,secretFunction,hamming,4,multi_bitflip_reg_multi,1010,14464,6.982854
alu_operator_o_mode,secretFunction,hamming,4,single_bitflip_spatial,14,3624,0.386313
alu_operator_o_mode,secretFunction,hamming,5,multi_bitflip_reg,0,32,0.000000
alu_operator_o_mode,secretFunction,hamming,5,multi_bitflip_reg_multi,170,15872,1.071069
alu_operator_o_mode,secretFunction,hamming,5,single_bitflip_spatial,16,3832,0.417537
alu_operator_o_mode,secretFunction,secded,1,multi_bitflip_reg,0,32,0.000000
alu_operator_o_mode,secretFunction,secded,1,multi_bitflip_reg_multi,204,10816,1.886095
alu_operator_o_mode,secretFunction,secded,1,single_bitflip_spatial,0,2488,0.000000
alu_operator_o_mode,secretFunction,secded,2,multi_bitflip_reg,0,32,0.000000
alu_operator_o_mode,secretFunction,secded,2,multi_bitflip_reg_multi,244,11328,2.153955
alu_operator_o_mode,secretFunction,secded,2,single_bitflip_spatial,0,2600,0.000000
alu_operator_o_mode,secretFunction,secded,3,multi_bitflip_reg,0,32,0.000000
alu_operator_o_mode,secretFunction,secded,3,multi_bitflip_reg_multi,66,14080,0.468750
alu_operator_o_mode,secretFunction,secded,3,single_bitflip_spatial,0,3416,0.000000
alu_operator_o_mode,secretFunction,secded,4,multi_bitflip_reg,0,32,0.000000
alu_operator_o_mode,secretFunction,secded,4,multi_bitflip_reg_multi,51,16896,0.301847
alu_operator_o_mode,secretFunction,secded,4,single_bitflip_spatial,0,4232,0.000000
alu_operator_o_mode,secretFunction,secded,5,multi_bitflip_reg,0,32,0.000000
alu_operator_o_mode,secretFunction,secded,5,multi_bitflip_reg_multi,32,18368,0.174216
alu_operator_o_mode,secretFunction,secded,5,single_bitflip_spatial,0,4456,0.000000
alu_operator_o_mode,secretFunction,simple_parity,1,multi_bitflip_reg,2,32,6.250000
alu_operator_o_mode,secretFunction,simple_parity,1,multi_bitflip_reg_multi,264,5184,5.092593
alu_operator_o_mode,secretFunction,simple_parity,1,single_bitflip_spatial,88,2088,4.214559
alu_operator_o_mode,secretFunction,wop,1,multi_bitflip_reg,6,32,18.750000
alu_operator_o_mode,secretFunction,wop,1,multi_bitflip_reg_multi,890,4864,18.297697
alu_operator_o_mode,secretFunction,wop,1,single_bitflip_spatial,503,2008,25.049801
