register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
check_d_o_tag,secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,82,5280,1.553030
check_d_o_tag,secretFunction,hamming,1,single_bitflip_spatial,18,1208,1.490066
check_d_o_tag,secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,77,5472,1.407164
check_d_o_tag,secretFunction,hamming,2,single_bitflip_spatial,14,1248,1.121795
check_d_o_tag,secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,62,6304,0.983503
check_d_o_tag,secretFunction,hamming,3,single_bitflip_spatial,0,1520,0.000000
check_d_o_tag,secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,62,7264,0.853524
check_d_o_tag,secretFunction,hamming,4,single_bitflip_spatial,0,1816,0.000000
check_d_o_tag,secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,58,7968,0.727912
check_d_o_tag,secretFunction,hamming,5,single_bitflip_spatial,0,1920,0.000000
check_d_o_tag,secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,secded,1,multi_bitflip_reg_multi,40,5440,0.735294
check_d_o_tag,secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
check_d_o_tag,secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,secded,2,multi_bitflip_reg_multi,36,5696,0.632022
check_d_o_tag,secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
check_d_o_tag,secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,secded,3,multi_bitflip_reg_multi,28,7072,0.395928
check_d_o_tag,secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
check_d_o_tag,secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,secded,4,multi_bitflip_reg_multi,18,8480,0.212264
check_d_o_tag,secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
check_d_o_tag,secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,secded,5,multi_bitflip_reg_multi,4,9216,0.043403
check_d_o_tag,secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
check_d_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,11,2624,0.419207
check_d_o_tag,secretFunction,simple_parity,1,single_bitflip_spatial,9,1048,0.858779
check_d_o_tag,secretFunction,wop,1,multi_bitflip_reg,0,16,0.000000
check_d_o_tag,secretFunction,wop,1,multi_bitflip_reg_multi,28,2464,1.136364
check_d_o_tag,secretFunction,wop,1,single_bitflip_spatial,23,1008,2.281746
