register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
data_type_q_tag,secretFunction,hamming,1,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,162,10496,1.543445
data_type_q_tag,secretFunction,hamming,1,single_bitflip_spatial,28,2408,1.162791
data_type_q_tag,secretFunction,hamming,2,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,132,10880,1.213235
data_type_q_tag,secretFunction,hamming,2,single_bitflip_spatial,0,2488,0.000000
data_type_q_tag,secretFunction,hamming,3,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,124,12544,0.988520
data_type_q_tag,secretFunction,hamming,3,single_bitflip_spatial,0,3032,0.000000
data_type_q_tag,secretFunction,hamming,4,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,124,14464,0.857301
data_type_q_tag,secretFunction,hamming,4,single_bitflip_spatial,0,3624,0.000000
data_type_q_tag,secretFunction,hamming,5,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,116,15872,0.730847
data_type_q_tag,secretFunction,hamming,5,single_bitflip_spatial,0,3832,0.000000
data_type_q_tag,secretFunction,secded,1,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,secded,1,multi_bitflip_reg_multi,76,10816,0.702663
data_type_q_tag,secretFunction,secded,1,single_bitflip_spatial,0,2488,0.000000
data_type_q_tag,secretFunction,secded,2,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,secded,2,multi_bitflip_reg_multi,54,11328,0.476695
data_type_q_tag,secretFunction,secded,2,single_bitflip_spatial,0,2600,0.000000
data_type_q_tag,secretFunction,secded,3,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,secded,3,multi_bitflip_reg_multi,42,14080,0.298295
data_type_q_tag,secretFunction,secded,3,single_bitflip_spatial,0,3416,0.000000
data_type_q_tag,secretFunction,secded,4,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,secded,4,multi_bitflip_reg_multi,27,16896,0.159801
data_type_q_tag,secretFunction,secded,4,single_bitflip_spatial,0,4232,0.000000
data_type_q_tag,secretFunction,secded,5,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,secded,5,multi_bitflip_reg_multi,8,18368,0.043554
data_type_q_tag,secretFunction,secded,5,single_bitflip_spatial,0,4456,0.000000
data_type_q_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,22,5184,0.424383
data_type_q_tag,secretFunction,simple_parity,1,single_bitflip_spatial,18,2088,0.862069
data_type_q_tag,secretFunction,wop,1,multi_bitflip_reg,0,32,0.000000
data_type_q_tag,secretFunction,wop,1,multi_bitflip_reg_multi,56,4864,1.151316
data_type_q_tag,secretFunction,wop,1,single_bitflip_spatial,58,2008,2.888446
