register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
hc_o_5,buffer_overflow,hamming,1,multi_bitflip_reg,0,96,0.000000
hc_o_5,buffer_overflow,hamming,1,multi_bitflip_reg_multi,160,30336,0.527426
hc_o_5,buffer_overflow,hamming,1,single_bitflip_spatial,0,3588,0.000000
hc_o_5,buffer_overflow,hamming,3,multi_bitflip_reg,0,96,0.000000
hc_o_5,buffer_overflow,hamming,3,multi_bitflip_reg_multi,192,36480,0.526316
hc_o_5,buffer_overflow,hamming,3,single_bitflip_spatial,0,4524,0.000000
hc_o_5,buffer_overflow,hamming,4,multi_bitflip_reg,0,96,0.000000
hc_o_5,buffer_overflow,hamming,4,multi_bitflip_reg_multi,192,42240,0.454545
hc_o_5,buffer_overflow,hamming,4,single_bitflip_spatial,0,5412,0.000000
hc_o_5,buffer_overflow,secded,1,multi_bitflip_reg,0,96,0.000000
hc_o_5,buffer_overflow,secded,1,multi_bitflip_reg_multi,27,31296,0.086273
hc_o_5,buffer_overflow,secded,1,single_bitflip_spatial,0,3708,0.000000
hc_o_5,buffer_overflow,secded,3,multi_bitflip_reg,0,96,0.000000
hc_o_5,buffer_overflow,secded,3,multi_bitflip_reg_multi,18,41088,0.043808
hc_o_5,buffer_overflow,secded,3,single_bitflip_spatial,0,5100,0.000000
hc_o_5,buffer_overflow,secded,4,multi_bitflip_reg,0,96,0.000000
hc_o_5,buffer_overflow,secded,4,multi_bitflip_reg_multi,0,49536,0.000000
hc_o_5,buffer_overflow,secded,4,single_bitflip_spatial,0,6324,0.000000
