register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
hc_o_5,secretFunction,hamming,1,multi_bitflip_reg,1,128,0.781250
hc_o_5,secretFunction,hamming,1,multi_bitflip_reg_multi,736,40448,1.819620
hc_o_5,secretFunction,hamming,1,single_bitflip_spatial,4,4784,0.083612
hc_o_5,secretFunction,hamming,3,multi_bitflip_reg,1,128,0.781250
hc_o_5,secretFunction,hamming,3,multi_bitflip_reg_multi,835,48640,1.716694
hc_o_5,secretFunction,hamming,3,single_bitflip_spatial,4,6032,0.066313
hc_o_5,secretFunction,hamming,4,multi_bitflip_reg,1,128,0.781250
hc_o_5,secretFunction,hamming,4,multi_bitflip_reg_multi,895,56320,1.589134
hc_o_5,secretFunction,hamming,4,single_bitflip_spatial,4,7216,0.055432
hc_o_5,secretFunction,secded,1,multi_bitflip_reg,0,128,0.000000
hc_o_5,secretFunction,secded,1,multi_bitflip_reg_multi,168,41728,0.402607
hc_o_5,secretFunction,secded,1,single_bitflip_spatial,0,4944,0.000000
hc_o_5,secretFunction,secded,3,multi_bitflip_reg,0,128,0.000000
hc_o_5,secretFunction,secded,3,multi_bitflip_reg_multi,132,54784,0.240946
hc_o_5,secretFunction,secded,3,single_bitflip_spatial,0,6800,0.000000
hc_o_5,secretFunction,secded,4,multi_bitflip_reg,0,128,0.000000
hc_o_5,secretFunction,secded,4,multi_bitflip_reg_multi,86,66048,0.130208
hc_o_5,secretFunction,secded,4,single_bitflip_spatial,0,8432,0.000000
