register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
hc_o_rf_tag,buffer_overflow,hamming,1,multi_bitflip_reg,0,384,0.000000
hc_o_rf_tag,buffer_overflow,hamming,1,multi_bitflip_reg_multi,697,102912,0.677278
hc_o_rf_tag,buffer_overflow,hamming,1,single_bitflip_spatial,7,5346,0.130939
hc_o_rf_tag,buffer_overflow,hamming,2,multi_bitflip_reg,1,384,0.260417
hc_o_rf_tag,buffer_overflow,hamming,2,multi_bitflip_reg_multi,1145,107520,1.064918
hc_o_rf_tag,buffer_overflow,hamming,2,single_bitflip_spatial,11,5526,0.199059
hc_o_rf_tag,buffer_overflow,hamming,3,multi_bitflip_reg,1,384,0.260417
hc_o_rf_tag,buffer_overflow,hamming,3,multi_bitflip_reg_multi,1071,127488,0.840079
hc_o_rf_tag,buffer_overflow,hamming,3,single_bitflip_spatial,11,6750,0.162963
hc_o_rf_tag,buffer_overflow,hamming,4,multi_bitflip_reg,1,384,0.260417
hc_o_rf_tag,buffer_overflow,hamming,4,multi_bitflip_reg_multi,1131,150528,0.751355
hc_o_rf_tag,buffer_overflow,hamming,4,single_bitflip_spatial,11,8082,0.136105
hc_o_rf_tag,buffer_overflow,hamming,5,multi_bitflip_reg,1,384,0.260417
hc_o_rf_tag,buffer_overflow,hamming,5,multi_bitflip_reg_multi,1175,167424,0.701811
hc_o_rf_tag,buffer_overflow,hamming,5,single_bitflip_spatial,11,8550,0.128655
hc_o_rf_tag,buffer_overflow,secded,1,multi_bitflip_reg,0,384,0.000000
hc_o_rf_tag,buffer_overflow,secded,1,multi_bitflip_reg_multi,148,106752,0.138639
hc_o_rf_tag,buffer_overflow,secded,1,single_bitflip_spatial,0,5526,0.000000
hc_o_rf_tag,buffer_overflow,secded,2,multi_bitflip_reg,0,384,0.000000
hc_o_rf_tag,buffer_overflow,secded,2,multi_bitflip_reg_multi,114,112896,0.100978
hc_o_rf_tag,buffer_overflow,secded,2,single_bitflip_spatial,0,5778,0.000000
hc_o_rf_tag,buffer_overflow,secded,3,multi_bitflip_reg,0,384,0.000000
hc_o_rf_tag,buffer_overflow,secded,3,multi_bitflip_reg_multi,114,145920,0.078125
hc_o_rf_tag,buffer_overflow,secded,3,single_bitflip_spatial,0,7614,0.000000
hc_o_rf_tag,buffer_overflow,secded,4,multi_bitflip_reg,0,384,0.000000
hc_o_rf_tag,buffer_overflow,secded,4,multi_bitflip_reg_multi,48,179712,0.026709
hc_o_rf_tag,buffer_overflow,secded,4,single_bitflip_spatial,0,9450,0.000000
hc_o_rf_tag,buffer_overflow,secded,5,multi_bitflip_reg,0,384,0.000000
hc_o_rf_tag,buffer_overflow,secded,5,multi_bitflip_reg_multi,48,197376,0.024319
hc_o_rf_tag,buffer_overflow,secded,5,single_bitflip_spatial,0,9954,0.000000
