register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
hc_o_rf_tag,secretFunction,hamming,1,multi_bitflip_reg,2,512,0.390625
hc_o_rf_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,2302,137216,1.677647
hc_o_rf_tag,secretFunction,hamming,1,single_bitflip_spatial,18,7128,0.252525
hc_o_rf_tag,secretFunction,hamming,2,multi_bitflip_reg,2,512,0.390625
hc_o_rf_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,2574,143360,1.795480
hc_o_rf_tag,secretFunction,hamming,2,single_bitflip_spatial,18,7368,0.244300
hc_o_rf_tag,secretFunction,hamming,3,multi_bitflip_reg,2,512,0.390625
hc_o_rf_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,2554,169984,1.502494
hc_o_rf_tag,secretFunction,hamming,3,single_bitflip_spatial,18,9000,0.200000
hc_o_rf_tag,secretFunction,hamming,4,multi_bitflip_reg,2,512,0.390625
hc_o_rf_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,2674,200704,1.332310
hc_o_rf_tag,secretFunction,hamming,4,single_bitflip_spatial,18,10776,0.167038
hc_o_rf_tag,secretFunction,hamming,5,multi_bitflip_reg,2,512,0.390625
hc_o_rf_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,2640,223232,1.182626
hc_o_rf_tag,secretFunction,hamming,5,single_bitflip_spatial,18,11400,0.157895
hc_o_rf_tag,secretFunction,secded,1,multi_bitflip_reg,2,512,0.390625
hc_o_rf_tag,secretFunction,secded,1,multi_bitflip_reg_multi,943,142336,0.662517
hc_o_rf_tag,secretFunction,secded,1,single_bitflip_spatial,0,7368,0.000000
hc_o_rf_tag,secretFunction,secded,2,multi_bitflip_reg,2,512,0.390625
hc_o_rf_tag,secretFunction,secded,2,multi_bitflip_reg_multi,972,150528,0.645727
hc_o_rf_tag,secretFunction,secded,2,single_bitflip_spatial,0,7704,0.000000
hc_o_rf_tag,secretFunction,secded,3,multi_bitflip_reg,2,512,0.390625
hc_o_rf_tag,secretFunction,secded,3,multi_bitflip_reg_multi,994,194560,0.510896
hc_o_rf_tag,secretFunction,secded,3,single_bitflip_spatial,0,10152,0.000000
hc_o_rf_tag,secretFunction,secded,4,multi_bitflip_reg,2,512,0.390625
hc_o_rf_tag,secretFunction,secded,4,multi_bitflip_reg_multi,973,239616,0.406066
hc_o_rf_tag,secretFunction,secded,4,single_bitflip_spatial,0,12600,0.000000
hc_o_rf_tag,secretFunction,secded,5,multi_bitflip_reg,2,512,0.390625
hc_o_rf_tag,secretFunction,secded,5,multi_bitflip_reg_multi,848,263168,0.322228
hc_o_rf_tag,secretFunction,secded,5,single_bitflip_spatial,0,13272,0.000000
