register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
memory_set_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg_multi,79,3960,1.994949
memory_set_o_tag,buffer_overflow,hamming,1,single_bitflip_spatial,24,906,2.649007
memory_set_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg_multi,98,4104,2.387914
memory_set_o_tag,buffer_overflow,hamming,2,single_bitflip_spatial,21,936,2.243590
memory_set_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg_multi,26,4728,0.549915
memory_set_o_tag,buffer_overflow,hamming,3,single_bitflip_spatial,2,1140,0.175439
memory_set_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg_multi,26,5448,0.477239
memory_set_o_tag,buffer_overflow,hamming,4,single_bitflip_spatial,2,1362,0.146843
memory_set_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg_multi,26,5976,0.435074
memory_set_o_tag,buffer_overflow,hamming,5,single_bitflip_spatial,2,1440,0.138889
memory_set_o_tag,buffer_overflow,secded,1,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,secded,1,multi_bitflip_reg_multi,29,4080,0.710784
memory_set_o_tag,buffer_overflow,secded,1,single_bitflip_spatial,0,936,0.000000
memory_set_o_tag,buffer_overflow,secded,2,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,secded,2,multi_bitflip_reg_multi,34,4272,0.795880
memory_set_o_tag,buffer_overflow,secded,2,single_bitflip_spatial,0,978,0.000000
memory_set_o_tag,buffer_overflow,secded,3,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,secded,3,multi_bitflip_reg_multi,5,5304,0.094268
memory_set_o_tag,buffer_overflow,secded,3,single_bitflip_spatial,0,1284,0.000000
memory_set_o_tag,buffer_overflow,secded,4,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,secded,4,multi_bitflip_reg_multi,1,6360,0.015723
memory_set_o_tag,buffer_overflow,secded,4,single_bitflip_spatial,0,1590,0.000000
memory_set_o_tag,buffer_overflow,secded,5,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,secded,5,multi_bitflip_reg_multi,1,6912,0.014468
memory_set_o_tag,buffer_overflow,secded,5,single_bitflip_spatial,0,1674,0.000000
memory_set_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg,0,12,0.000000
memory_set_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg_multi,27,1968,1.371951
memory_set_o_tag,buffer_overflow,simple_parity,1,single_bitflip_spatial,23,786,2.926209
memory_set_o_tag,buffer_overflow,wop,1,multi_bitflip_reg,1,12,8.333333
memory_set_o_tag,buffer_overflow,wop,1,multi_bitflip_reg_multi,153,1848,8.279221
memory_set_o_tag,buffer_overflow,wop,1,single_bitflip_spatial,125,756,16.534392
