register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
pc_id_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg_multi,22,3960,0.555556
pc_id_o_tag,buffer_overflow,hamming,1,single_bitflip_spatial,2,906,0.220751
pc_id_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg_multi,31,4104,0.755361
pc_id_o_tag,buffer_overflow,hamming,2,single_bitflip_spatial,2,936,0.213675
pc_id_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg_multi,24,4728,0.507614
pc_id_o_tag,buffer_overflow,hamming,3,single_bitflip_spatial,0,1140,0.000000
pc_id_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg_multi,24,5448,0.440529
pc_id_o_tag,buffer_overflow,hamming,4,single_bitflip_spatial,0,1362,0.000000
pc_id_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg_multi,27,5976,0.451807
pc_id_o_tag,buffer_overflow,hamming,5,single_bitflip_spatial,2,1440,0.138889
pc_id_o_tag,buffer_overflow,secded,1,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,secded,1,multi_bitflip_reg_multi,8,4080,0.196078
pc_id_o_tag,buffer_overflow,secded,1,single_bitflip_spatial,0,936,0.000000
pc_id_o_tag,buffer_overflow,secded,2,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,secded,2,multi_bitflip_reg_multi,6,4272,0.140449
pc_id_o_tag,buffer_overflow,secded,2,single_bitflip_spatial,0,978,0.000000
pc_id_o_tag,buffer_overflow,secded,3,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,secded,3,multi_bitflip_reg_multi,4,5304,0.075415
pc_id_o_tag,buffer_overflow,secded,3,single_bitflip_spatial,0,1284,0.000000
pc_id_o_tag,buffer_overflow,secded,4,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,secded,4,multi_bitflip_reg_multi,0,6360,0.000000
pc_id_o_tag,buffer_overflow,secded,4,single_bitflip_spatial,0,1590,0.000000
pc_id_o_tag,buffer_overflow,secded,5,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,secded,5,multi_bitflip_reg_multi,2,6912,0.028935
pc_id_o_tag,buffer_overflow,secded,5,single_bitflip_spatial,0,1674,0.000000
pc_id_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg_multi,1,1968,0.050813
pc_id_o_tag,buffer_overflow,simple_parity,1,single_bitflip_spatial,1,786,0.127226
pc_id_o_tag,buffer_overflow,wop,1,multi_bitflip_reg,0,12,0.000000
pc_id_o_tag,buffer_overflow,wop,1,multi_bitflip_reg_multi,5,1848,0.270563
pc_id_o_tag,buffer_overflow,wop,1,single_bitflip_spatial,7,756,0.925926
