register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
pc_if_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg_multi,22,3960,0.555556
pc_if_o_tag,buffer_overflow,hamming,1,single_bitflip_spatial,2,906,0.220751
pc_if_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg_multi,37,4104,0.901559
pc_if_o_tag,buffer_overflow,hamming,2,single_bitflip_spatial,5,936,0.534188
pc_if_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg_multi,26,4728,0.549915
pc_if_o_tag,buffer_overflow,hamming,3,single_bitflip_spatial,2,1140,0.175439
pc_if_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg_multi,26,5448,0.477239
pc_if_o_tag,buffer_overflow,hamming,4,single_bitflip_spatial,2,1362,0.146843
pc_if_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg_multi,33,5976,0.552209
pc_if_o_tag,buffer_overflow,hamming,5,single_bitflip_spatial,5,1440,0.347222
pc_if_o_tag,buffer_overflow,secded,1,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,secded,1,multi_bitflip_reg_multi,8,4080,0.196078
pc_if_o_tag,buffer_overflow,secded,1,single_bitflip_spatial,0,936,0.000000
pc_if_o_tag,buffer_overflow,secded,2,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,secded,2,multi_bitflip_reg_multi,8,4272,0.187266
pc_if_o_tag,buffer_overflow,secded,2,single_bitflip_spatial,0,978,0.000000
pc_if_o_tag,buffer_overflow,secded,3,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,secded,3,multi_bitflip_reg_multi,5,5304,0.094268
pc_if_o_tag,buffer_overflow,secded,3,single_bitflip_spatial,0,1284,0.000000
pc_if_o_tag,buffer_overflow,secded,4,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,secded,4,multi_bitflip_reg_multi,1,6360,0.015723
pc_if_o_tag,buffer_overflow,secded,4,single_bitflip_spatial,0,1590,0.000000
pc_if_o_tag,buffer_overflow,secded,5,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,secded,5,multi_bitflip_reg_multi,4,6912,0.057870
pc_if_o_tag,buffer_overflow,secded,5,single_bitflip_spatial,0,1674,0.000000
pc_if_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg,0,12,0.000000
pc_if_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg_multi,1,1968,0.050813
pc_if_o_tag,buffer_overflow,simple_parity,1,single_bitflip_spatial,1,786,0.127226
pc_if_o_tag,buffer_overflow,wop,1,multi_bitflip_reg,1,12,8.333333
pc_if_o_tag,buffer_overflow,wop,1,multi_bitflip_reg_multi,156,1848,8.441558
pc_if_o_tag,buffer_overflow,wop,1,single_bitflip_spatial,122,756,16.137566
