register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
pc_if_o_tag,secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,49,5280,0.928030
pc_if_o_tag,secretFunction,hamming,1,single_bitflip_spatial,0,1208,0.000000
pc_if_o_tag,secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,66,5472,1.206140
pc_if_o_tag,secretFunction,hamming,2,single_bitflip_spatial,0,1248,0.000000
pc_if_o_tag,secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,62,6304,0.983503
pc_if_o_tag,secretFunction,hamming,3,single_bitflip_spatial,0,1520,0.000000
pc_if_o_tag,secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,62,7264,0.853524
pc_if_o_tag,secretFunction,hamming,4,single_bitflip_spatial,0,1816,0.000000
pc_if_o_tag,secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,58,7968,0.727912
pc_if_o_tag,secretFunction,hamming,5,single_bitflip_spatial,0,1920,0.000000
pc_if_o_tag,secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,secded,1,multi_bitflip_reg_multi,32,5440,0.588235
pc_if_o_tag,secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
pc_if_o_tag,secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,secded,2,multi_bitflip_reg_multi,36,5696,0.632022
pc_if_o_tag,secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
pc_if_o_tag,secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,secded,3,multi_bitflip_reg_multi,28,7072,0.395928
pc_if_o_tag,secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
pc_if_o_tag,secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,secded,4,multi_bitflip_reg_multi,18,8480,0.212264
pc_if_o_tag,secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
pc_if_o_tag,secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,secded,5,multi_bitflip_reg_multi,4,9216,0.043403
pc_if_o_tag,secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
pc_if_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,2,2624,0.076220
pc_if_o_tag,secretFunction,simple_parity,1,single_bitflip_spatial,0,1048,0.000000
pc_if_o_tag,secretFunction,wop,1,multi_bitflip_reg,0,16,0.000000
pc_if_o_tag,secretFunction,wop,1,multi_bitflip_reg_multi,14,2464,0.568182
pc_if_o_tag,secretFunction,wop,1,single_bitflip_spatial,0,1008,0.000000
