register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
rdata_q_tag,buffer_overflow,hamming,1,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,hamming,1,multi_bitflip_reg_multi,176,30336,0.580169
rdata_q_tag,buffer_overflow,hamming,1,single_bitflip_spatial,8,3588,0.222965
rdata_q_tag,buffer_overflow,hamming,2,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,hamming,2,multi_bitflip_reg_multi,224,31488,0.711382
rdata_q_tag,buffer_overflow,hamming,2,single_bitflip_spatial,0,3708,0.000000
rdata_q_tag,buffer_overflow,hamming,3,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,hamming,3,multi_bitflip_reg_multi,192,36480,0.526316
rdata_q_tag,buffer_overflow,hamming,3,single_bitflip_spatial,0,4524,0.000000
rdata_q_tag,buffer_overflow,hamming,4,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,hamming,4,multi_bitflip_reg_multi,192,42240,0.454545
rdata_q_tag,buffer_overflow,hamming,4,single_bitflip_spatial,0,5412,0.000000
rdata_q_tag,buffer_overflow,hamming,5,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,hamming,5,multi_bitflip_reg_multi,192,46464,0.413223
rdata_q_tag,buffer_overflow,hamming,5,single_bitflip_spatial,0,5724,0.000000
rdata_q_tag,buffer_overflow,secded,1,multi_bitflip_reg,1,96,1.041667
rdata_q_tag,buffer_overflow,secded,1,multi_bitflip_reg_multi,222,31296,0.709356
rdata_q_tag,buffer_overflow,secded,1,single_bitflip_spatial,0,3708,0.000000
rdata_q_tag,buffer_overflow,secded,2,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,secded,2,multi_bitflip_reg_multi,18,32832,0.054825
rdata_q_tag,buffer_overflow,secded,2,single_bitflip_spatial,0,3876,0.000000
rdata_q_tag,buffer_overflow,secded,3,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,secded,3,multi_bitflip_reg_multi,18,41088,0.043808
rdata_q_tag,buffer_overflow,secded,3,single_bitflip_spatial,0,5100,0.000000
rdata_q_tag,buffer_overflow,secded,4,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,secded,4,multi_bitflip_reg_multi,0,49536,0.000000
rdata_q_tag,buffer_overflow,secded,4,single_bitflip_spatial,0,6324,0.000000
rdata_q_tag,buffer_overflow,secded,5,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,secded,5,multi_bitflip_reg_multi,0,53952,0.000000
rdata_q_tag,buffer_overflow,secded,5,single_bitflip_spatial,0,6660,0.000000
rdata_q_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg_multi,8,14400,0.055556
rdata_q_tag,buffer_overflow,simple_parity,1,single_bitflip_spatial,4,3108,0.128700
rdata_q_tag,buffer_overflow,wop,1,multi_bitflip_reg,0,96,0.000000
rdata_q_tag,buffer_overflow,wop,1,multi_bitflip_reg_multi,48,13440,0.357143
rdata_q_tag,buffer_overflow,wop,1,single_bitflip_spatial,48,2988,1.606426
