register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
rdata_q_tag,secretFunction,hamming,1,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,642,40448,1.587223
rdata_q_tag,secretFunction,hamming,1,single_bitflip_spatial,60,4784,1.254181
rdata_q_tag,secretFunction,hamming,2,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,528,41984,1.257622
rdata_q_tag,secretFunction,hamming,2,single_bitflip_spatial,0,4944,0.000000
rdata_q_tag,secretFunction,hamming,3,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,496,48640,1.019737
rdata_q_tag,secretFunction,hamming,3,single_bitflip_spatial,0,6032,0.000000
rdata_q_tag,secretFunction,hamming,4,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,496,56320,0.880682
rdata_q_tag,secretFunction,hamming,4,single_bitflip_spatial,0,7216,0.000000
rdata_q_tag,secretFunction,hamming,5,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,464,61952,0.748967
rdata_q_tag,secretFunction,hamming,5,single_bitflip_spatial,0,7632,0.000000
rdata_q_tag,secretFunction,secded,1,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,secded,1,multi_bitflip_reg_multi,289,41728,0.692581
rdata_q_tag,secretFunction,secded,1,single_bitflip_spatial,0,4944,0.000000
rdata_q_tag,secretFunction,secded,2,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,secded,2,multi_bitflip_reg_multi,162,43776,0.370066
rdata_q_tag,secretFunction,secded,2,single_bitflip_spatial,0,5168,0.000000
rdata_q_tag,secretFunction,secded,3,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,secded,3,multi_bitflip_reg_multi,126,54784,0.229994
rdata_q_tag,secretFunction,secded,3,single_bitflip_spatial,0,6800,0.000000
rdata_q_tag,secretFunction,secded,4,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,secded,4,multi_bitflip_reg_multi,81,66048,0.122638
rdata_q_tag,secretFunction,secded,4,single_bitflip_spatial,0,8432,0.000000
rdata_q_tag,secretFunction,secded,5,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,secded,5,multi_bitflip_reg_multi,32,71936,0.044484
rdata_q_tag,secretFunction,secded,5,single_bitflip_spatial,0,8880,0.000000
rdata_q_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,88,19200,0.458333
rdata_q_tag,secretFunction,simple_parity,1,single_bitflip_spatial,36,4144,0.868726
rdata_q_tag,secretFunction,wop,1,multi_bitflip_reg,0,128,0.000000
rdata_q_tag,secretFunction,wop,1,multi_bitflip_reg_multi,224,17920,1.250000
rdata_q_tag,secretFunction,wop,1,single_bitflip_spatial,116,3984,2.911647
