register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg_multi,321,57600,0.557292
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,1,single_bitflip_spatial,0,4470,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg,2,192,1.041667
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg_multi,936,59904,1.562500
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,2,single_bitflip_spatial,8,4620,0.173160
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg_multi,384,69888,0.549451
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,3,single_bitflip_spatial,0,5640,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg_multi,384,81408,0.471698
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,4,single_bitflip_spatial,0,6750,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg_multi,384,89856,0.427350
regfile_alu_waddr_ex_o_tag,buffer_overflow,hamming,5,single_bitflip_spatial,0,7140,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,1,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,1,multi_bitflip_reg_multi,51,59520,0.085685
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,1,single_bitflip_spatial,0,4620,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,2,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,2,multi_bitflip_reg_multi,76,62592,0.121421
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,2,single_bitflip_spatial,0,4830,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,3,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,3,multi_bitflip_reg_multi,34,79104,0.042981
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,3,single_bitflip_spatial,0,6360,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,4,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,4,multi_bitflip_reg_multi,0,96000,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,4,single_bitflip_spatial,0,7890,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,5,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,5,multi_bitflip_reg_multi,0,104832,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,secded,5,single_bitflip_spatial,0,8310,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg_multi,0,25728,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,simple_parity,1,single_bitflip_spatial,0,3870,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,wop,1,multi_bitflip_reg,0,192,0.000000
regfile_alu_waddr_ex_o_tag,buffer_overflow,wop,1,multi_bitflip_reg_multi,96,23808,0.403226
regfile_alu_waddr_ex_o_tag,buffer_overflow,wop,1,single_bitflip_spatial,58,3720,1.559140
