register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,1,multi_bitflip_reg,0,256,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,906,76800,1.179688
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,1,single_bitflip_spatial,3,5960,0.050336
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,2,multi_bitflip_reg,2,256,0.781250
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,1830,79872,2.291166
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,2,single_bitflip_spatial,64,6160,1.038961
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,3,multi_bitflip_reg,0,256,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,970,93184,1.040951
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,3,single_bitflip_spatial,3,7520,0.039894
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,4,multi_bitflip_reg,0,256,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,970,108544,0.893647
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,4,single_bitflip_spatial,3,9000,0.033333
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,5,multi_bitflip_reg,0,256,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,1072,119808,0.894765
regfile_alu_waddr_ex_o_tag,secretFunction,hamming,5,single_bitflip_spatial,6,9520,0.063025
regfile_alu_waddr_ex_o_tag,secretFunction,secded,1,multi_bitflip_reg,0,256,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,secded,1,multi_bitflip_reg_multi,312,79360,0.393145
regfile_alu_waddr_ex_o_tag,secretFunction,secded,1,single_bitflip_spatial,0,6160,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,secded,2,multi_bitflip_reg,2,256,0.781250
regfile_alu_waddr_ex_o_tag,secretFunction,secded,2,multi_bitflip_reg_multi,998,83456,1.195840
regfile_alu_waddr_ex_o_tag,secretFunction,secded,2,single_bitflip_spatial,0,6440,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,secded,3,multi_bitflip_reg,0,256,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,secded,3,multi_bitflip_reg_multi,244,105472,0.231341
regfile_alu_waddr_ex_o_tag,secretFunction,secded,3,single_bitflip_spatial,0,8480,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,secded,4,multi_bitflip_reg,0,256,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,secded,4,multi_bitflip_reg_multi,154,128000,0.120313
regfile_alu_waddr_ex_o_tag,secretFunction,secded,4,single_bitflip_spatial,0,10520,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,secded,5,multi_bitflip_reg,0,256,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,secded,5,multi_bitflip_reg_multi,144,139776,0.103022
regfile_alu_waddr_ex_o_tag,secretFunction,secded,5,single_bitflip_spatial,0,11080,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,256,0.000000
regfile_alu_waddr_ex_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,33,34304,0.096199
regfile_alu_waddr_ex_o_tag,secretFunction,simple_parity,1,single_bitflip_spatial,1,5160,0.019380
regfile_alu_waddr_ex_o_tag,secretFunction,wop,1,multi_bitflip_reg,1,256,0.390625
regfile_alu_waddr_ex_o_tag,secretFunction,wop,1,multi_bitflip_reg_multi,530,31744,1.669607
regfile_alu_waddr_ex_o_tag,secretFunction,wop,1,single_bitflip_spatial,253,4960,5.100806
