register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
rf_reg[16],buffer_overflow,hamming,1,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,hamming,1,multi_bitflip_reg_multi,21,3960,0.530303
rf_reg[16],buffer_overflow,hamming,1,single_bitflip_spatial,1,906,0.110375
rf_reg[16],buffer_overflow,hamming,2,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,hamming,2,multi_bitflip_reg_multi,30,4104,0.730994
rf_reg[16],buffer_overflow,hamming,2,single_bitflip_spatial,2,936,0.213675
rf_reg[16],buffer_overflow,hamming,3,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,hamming,3,multi_bitflip_reg_multi,26,4728,0.549915
rf_reg[16],buffer_overflow,hamming,3,single_bitflip_spatial,2,1140,0.175439
rf_reg[16],buffer_overflow,hamming,4,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,hamming,4,multi_bitflip_reg_multi,26,5448,0.477239
rf_reg[16],buffer_overflow,hamming,4,single_bitflip_spatial,2,1362,0.146843
rf_reg[16],buffer_overflow,hamming,5,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,hamming,5,multi_bitflip_reg_multi,26,5976,0.435074
rf_reg[16],buffer_overflow,hamming,5,single_bitflip_spatial,2,1440,0.138889
rf_reg[16],buffer_overflow,secded,1,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,secded,1,multi_bitflip_reg_multi,6,4080,0.147059
rf_reg[16],buffer_overflow,secded,1,single_bitflip_spatial,0,936,0.000000
rf_reg[16],buffer_overflow,secded,2,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,secded,2,multi_bitflip_reg_multi,4,4272,0.093633
rf_reg[16],buffer_overflow,secded,2,single_bitflip_spatial,0,978,0.000000
rf_reg[16],buffer_overflow,secded,3,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,secded,3,multi_bitflip_reg_multi,4,5304,0.075415
rf_reg[16],buffer_overflow,secded,3,single_bitflip_spatial,0,1284,0.000000
rf_reg[16],buffer_overflow,secded,4,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,secded,4,multi_bitflip_reg_multi,0,6360,0.000000
rf_reg[16],buffer_overflow,secded,4,single_bitflip_spatial,0,1590,0.000000
rf_reg[16],buffer_overflow,secded,5,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,secded,5,multi_bitflip_reg_multi,0,6912,0.000000
rf_reg[16],buffer_overflow,secded,5,single_bitflip_spatial,0,1674,0.000000
rf_reg[16],buffer_overflow,simple_parity,1,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,simple_parity,1,multi_bitflip_reg_multi,1,1968,0.050813
rf_reg[16],buffer_overflow,simple_parity,1,single_bitflip_spatial,1,786,0.127226
rf_reg[16],buffer_overflow,wop,1,multi_bitflip_reg,0,12,0.000000
rf_reg[16],buffer_overflow,wop,1,multi_bitflip_reg_multi,6,1848,0.324675
rf_reg[16],buffer_overflow,wop,1,single_bitflip_spatial,12,756,1.587302
