register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
rs1_o_tag,secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,78,5280,1.477273
rs1_o_tag,secretFunction,hamming,1,single_bitflip_spatial,18,1208,1.490066
rs1_o_tag,secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,66,5472,1.206140
rs1_o_tag,secretFunction,hamming,2,single_bitflip_spatial,0,1248,0.000000
rs1_o_tag,secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,62,6304,0.983503
rs1_o_tag,secretFunction,hamming,3,single_bitflip_spatial,0,1520,0.000000
rs1_o_tag,secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,62,7264,0.853524
rs1_o_tag,secretFunction,hamming,4,single_bitflip_spatial,0,1816,0.000000
rs1_o_tag,secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,58,7968,0.727912
rs1_o_tag,secretFunction,hamming,5,single_bitflip_spatial,0,1920,0.000000
rs1_o_tag,secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,secded,1,multi_bitflip_reg_multi,37,5440,0.680147
rs1_o_tag,secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
rs1_o_tag,secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,secded,2,multi_bitflip_reg_multi,36,5696,0.632022
rs1_o_tag,secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
rs1_o_tag,secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,secded,3,multi_bitflip_reg_multi,28,7072,0.395928
rs1_o_tag,secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
rs1_o_tag,secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,secded,4,multi_bitflip_reg_multi,18,8480,0.212264
rs1_o_tag,secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
rs1_o_tag,secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,secded,5,multi_bitflip_reg_multi,4,9216,0.043403
rs1_o_tag,secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
rs1_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,11,2624,0.419207
rs1_o_tag,secretFunction,simple_parity,1,single_bitflip_spatial,9,1048,0.858779
rs1_o_tag,secretFunction,wop,1,multi_bitflip_reg,0,16,0.000000
rs1_o_tag,secretFunction,wop,1,multi_bitflip_reg_multi,26,2464,1.055195
rs1_o_tag,secretFunction,wop,1,single_bitflip_spatial,23,1008,2.281746
