register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
sd_o_rf_tag,buffer_overflow,secded,1,multi_bitflip_reg,0,12,0.000000
sd_o_rf_tag,buffer_overflow,secded,1,multi_bitflip_reg_multi,7,4080,0.171569
sd_o_rf_tag,buffer_overflow,secded,1,single_bitflip_spatial,0,936,0.000000
sd_o_rf_tag,buffer_overflow,secded,2,multi_bitflip_reg,0,12,0.000000
sd_o_rf_tag,buffer_overflow,secded,2,multi_bitflip_reg_multi,5,4272,0.117041
sd_o_rf_tag,buffer_overflow,secded,2,single_bitflip_spatial,0,978,0.000000
sd_o_rf_tag,buffer_overflow,secded,3,multi_bitflip_reg,0,12,0.000000
sd_o_rf_tag,buffer_overflow,secded,3,multi_bitflip_reg_multi,5,5304,0.094268
sd_o_rf_tag,buffer_overflow,secded,3,single_bitflip_spatial,0,1284,0.000000
sd_o_rf_tag,buffer_overflow,secded,4,multi_bitflip_reg,0,12,0.000000
sd_o_rf_tag,buffer_overflow,secded,4,multi_bitflip_reg_multi,1,6360,0.015723
sd_o_rf_tag,buffer_overflow,secded,4,single_bitflip_spatial,0,1590,0.000000
sd_o_rf_tag,buffer_overflow,secded,5,multi_bitflip_reg,0,12,0.000000
sd_o_rf_tag,buffer_overflow,secded,5,multi_bitflip_reg_multi,1,6912,0.014468
sd_o_rf_tag,buffer_overflow,secded,5,single_bitflip_spatial,0,1674,0.000000
