register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
sd_o_rf_tag,secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
sd_o_rf_tag,secretFunction,secded,1,multi_bitflip_reg_multi,34,5440,0.625000
sd_o_rf_tag,secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
sd_o_rf_tag,secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
sd_o_rf_tag,secretFunction,secded,2,multi_bitflip_reg_multi,34,5696,0.596910
sd_o_rf_tag,secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
sd_o_rf_tag,secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
sd_o_rf_tag,secretFunction,secded,3,multi_bitflip_reg_multi,26,7072,0.367647
sd_o_rf_tag,secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
sd_o_rf_tag,secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
sd_o_rf_tag,secretFunction,secded,4,multi_bitflip_reg_multi,16,8480,0.188679
sd_o_rf_tag,secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
sd_o_rf_tag,secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
sd_o_rf_tag,secretFunction,secded,5,multi_bitflip_reg_multi,2,9216,0.021701
sd_o_rf_tag,secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
