register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
store_dest_addr_ex_o_tag,secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,120,5280,2.272727
store_dest_addr_ex_o_tag,secretFunction,hamming,1,single_bitflip_spatial,30,1208,2.483444
store_dest_addr_ex_o_tag,secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,143,5472,2.613304
store_dest_addr_ex_o_tag,secretFunction,hamming,2,single_bitflip_spatial,30,1248,2.403846
store_dest_addr_ex_o_tag,secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,64,6304,1.015228
store_dest_addr_ex_o_tag,secretFunction,hamming,3,single_bitflip_spatial,2,1520,0.131579
store_dest_addr_ex_o_tag,secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,64,7264,0.881057
store_dest_addr_ex_o_tag,secretFunction,hamming,4,single_bitflip_spatial,2,1816,0.110132
store_dest_addr_ex_o_tag,secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,67,7968,0.840863
store_dest_addr_ex_o_tag,secretFunction,hamming,5,single_bitflip_spatial,5,1920,0.260417
store_dest_addr_ex_o_tag,secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,secded,1,multi_bitflip_reg_multi,61,5440,1.121324
store_dest_addr_ex_o_tag,secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
store_dest_addr_ex_o_tag,secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,secded,2,multi_bitflip_reg_multi,69,5696,1.211376
store_dest_addr_ex_o_tag,secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
store_dest_addr_ex_o_tag,secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,secded,3,multi_bitflip_reg_multi,29,7072,0.410068
store_dest_addr_ex_o_tag,secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
store_dest_addr_ex_o_tag,secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,secded,4,multi_bitflip_reg_multi,19,8480,0.224057
store_dest_addr_ex_o_tag,secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
store_dest_addr_ex_o_tag,secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,secded,5,multi_bitflip_reg_multi,8,9216,0.086806
store_dest_addr_ex_o_tag,secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
store_dest_addr_ex_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
store_dest_addr_ex_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,33,2624,1.257622
store_dest_addr_ex_o_tag,secretFunction,simple_parity,1,single_bitflip_spatial,27,1048,2.576336
store_dest_addr_ex_o_tag,secretFunction,wop,1,multi_bitflip_reg,1,16,6.250000
store_dest_addr_ex_o_tag,secretFunction,wop,1,multi_bitflip_reg_multi,170,2464,6.899351
store_dest_addr_ex_o_tag,secretFunction,wop,1,single_bitflip_spatial,142,1008,14.087302
