register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
store_source_ex_o_tag,secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,82,5280,1.553030
store_source_ex_o_tag,secretFunction,hamming,1,single_bitflip_spatial,14,1208,1.158940
store_source_ex_o_tag,secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,91,5472,1.663012
store_source_ex_o_tag,secretFunction,hamming,2,single_bitflip_spatial,16,1248,1.282051
store_source_ex_o_tag,secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,62,6304,0.983503
store_source_ex_o_tag,secretFunction,hamming,3,single_bitflip_spatial,0,1520,0.000000
store_source_ex_o_tag,secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,62,7264,0.853524
store_source_ex_o_tag,secretFunction,hamming,4,single_bitflip_spatial,0,1816,0.000000
store_source_ex_o_tag,secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,62,7968,0.778112
store_source_ex_o_tag,secretFunction,hamming,5,single_bitflip_spatial,2,1920,0.104167
store_source_ex_o_tag,secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,secded,1,multi_bitflip_reg_multi,48,5440,0.882353
store_source_ex_o_tag,secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
store_source_ex_o_tag,secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,secded,2,multi_bitflip_reg_multi,48,5696,0.842697
store_source_ex_o_tag,secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
store_source_ex_o_tag,secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,secded,3,multi_bitflip_reg_multi,28,7072,0.395928
store_source_ex_o_tag,secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
store_source_ex_o_tag,secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,secded,4,multi_bitflip_reg_multi,18,8480,0.212264
store_source_ex_o_tag,secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
store_source_ex_o_tag,secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,secded,5,multi_bitflip_reg_multi,6,9216,0.065104
store_source_ex_o_tag,secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
store_source_ex_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,11,2624,0.419207
store_source_ex_o_tag,secretFunction,simple_parity,1,single_bitflip_spatial,9,1048,0.858779
store_source_ex_o_tag,secretFunction,wop,1,multi_bitflip_reg,0,16,0.000000
store_source_ex_o_tag,secretFunction,wop,1,multi_bitflip_reg_multi,28,2464,1.136364
store_source_ex_o_tag,secretFunction,wop,1,single_bitflip_spatial,29,1008,2.876984
