register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
tcr/hc_o_32,buffer_overflow,hamming,1,multi_bitflip_reg,5,192,2.604167
tcr/hc_o_32,buffer_overflow,hamming,1,multi_bitflip_reg_multi,1620,57600,2.812500
tcr/hc_o_32,buffer_overflow,hamming,1,single_bitflip_spatial,40,4470,0.894855
tcr/hc_o_32,buffer_overflow,hamming,2,multi_bitflip_reg,5,192,2.604167
tcr/hc_o_32,buffer_overflow,hamming,2,multi_bitflip_reg_multi,1788,59904,2.984776
tcr/hc_o_32,buffer_overflow,hamming,2,single_bitflip_spatial,35,4620,0.757576
tcr/hc_o_32,buffer_overflow,hamming,3,multi_bitflip_reg,5,192,2.604167
tcr/hc_o_32,buffer_overflow,hamming,3,multi_bitflip_reg_multi,1990,69888,2.847413
tcr/hc_o_32,buffer_overflow,hamming,3,single_bitflip_spatial,35,5640,0.620567
tcr/hc_o_32,buffer_overflow,secded,1,multi_bitflip_reg,0,192,0.000000
tcr/hc_o_32,buffer_overflow,secded,1,multi_bitflip_reg_multi,55,59520,0.092406
tcr/hc_o_32,buffer_overflow,secded,1,single_bitflip_spatial,0,4620,0.000000
tcr/hc_o_32,buffer_overflow,secded,2,multi_bitflip_reg,0,192,0.000000
tcr/hc_o_32,buffer_overflow,secded,2,multi_bitflip_reg_multi,39,62592,0.062308
tcr/hc_o_32,buffer_overflow,secded,2,single_bitflip_spatial,0,4830,0.000000
tcr/hc_o_32,buffer_overflow,secded,3,multi_bitflip_reg,0,192,0.000000
tcr/hc_o_32,buffer_overflow,secded,3,multi_bitflip_reg_multi,39,79104,0.049302
tcr/hc_o_32,buffer_overflow,secded,3,single_bitflip_spatial,0,6360,0.000000
