register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
tcr/hc_o_32,secretFunction,hamming,1,multi_bitflip_reg,7,256,2.734375
tcr/hc_o_32,secretFunction,hamming,1,multi_bitflip_reg_multi,2703,76800,3.519531
tcr/hc_o_32,secretFunction,hamming,1,single_bitflip_spatial,70,5960,1.174497
tcr/hc_o_32,secretFunction,hamming,2,multi_bitflip_reg,7,256,2.734375
tcr/hc_o_32,secretFunction,hamming,2,multi_bitflip_reg_multi,2923,79872,3.659605
tcr/hc_o_32,secretFunction,hamming,2,single_bitflip_spatial,63,6160,1.022727
tcr/hc_o_32,secretFunction,hamming,3,multi_bitflip_reg,7,256,2.734375
tcr/hc_o_32,secretFunction,hamming,3,multi_bitflip_reg_multi,3228,93184,3.464114
tcr/hc_o_32,secretFunction,hamming,3,single_bitflip_spatial,63,7520,0.837766
tcr/hc_o_32,secretFunction,secded,1,multi_bitflip_reg,7,256,2.734375
tcr/hc_o_32,secretFunction,secded,1,multi_bitflip_reg_multi,1670,79360,2.104335
tcr/hc_o_32,secretFunction,secded,1,single_bitflip_spatial,0,6160,0.000000
tcr/hc_o_32,secretFunction,secded,2,multi_bitflip_reg,7,256,2.734375
tcr/hc_o_32,secretFunction,secded,2,multi_bitflip_reg_multi,1766,83456,2.116085
tcr/hc_o_32,secretFunction,secded,2,single_bitflip_spatial,0,6440,0.000000
tcr/hc_o_32,secretFunction,secded,3,multi_bitflip_reg,7,256,2.734375
tcr/hc_o_32,secretFunction,secded,3,multi_bitflip_reg_multi,2240,105472,2.123786
tcr/hc_o_32,secretFunction,secded,3,single_bitflip_spatial,0,8480,0.000000
