register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
tpr/hc_o_32,buffer_overflow,hamming,1,multi_bitflip_reg,4,192,2.083333
tpr/hc_o_32,buffer_overflow,hamming,1,multi_bitflip_reg_multi,1344,57600,2.333333
tpr/hc_o_32,buffer_overflow,hamming,1,single_bitflip_spatial,42,4470,0.939597
tpr/hc_o_32,buffer_overflow,hamming,2,multi_bitflip_reg,4,192,2.083333
tpr/hc_o_32,buffer_overflow,hamming,2,multi_bitflip_reg_multi,1517,59904,2.532385
tpr/hc_o_32,buffer_overflow,hamming,2,single_bitflip_spatial,38,4620,0.822511
tpr/hc_o_32,buffer_overflow,hamming,3,multi_bitflip_reg,4,192,2.083333
tpr/hc_o_32,buffer_overflow,hamming,3,multi_bitflip_reg_multi,1669,69888,2.388107
tpr/hc_o_32,buffer_overflow,hamming,3,single_bitflip_spatial,38,5640,0.673759
tpr/hc_o_32,buffer_overflow,secded,1,multi_bitflip_reg,2,192,1.041667
tpr/hc_o_32,buffer_overflow,secded,1,multi_bitflip_reg_multi,445,59520,0.747648
tpr/hc_o_32,buffer_overflow,secded,1,single_bitflip_spatial,0,4620,0.000000
tpr/hc_o_32,buffer_overflow,secded,2,multi_bitflip_reg,2,192,1.041667
tpr/hc_o_32,buffer_overflow,secded,2,multi_bitflip_reg_multi,458,62592,0.731723
tpr/hc_o_32,buffer_overflow,secded,2,single_bitflip_spatial,0,4830,0.000000
tpr/hc_o_32,buffer_overflow,secded,3,multi_bitflip_reg,2,192,1.041667
tpr/hc_o_32,buffer_overflow,secded,3,multi_bitflip_reg_multi,612,79104,0.773665
tpr/hc_o_32,buffer_overflow,secded,3,single_bitflip_spatial,0,6360,0.000000
