register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
tpr/hc_o_32,secretFunction,hamming,1,multi_bitflip_reg,10,256,3.906250
tpr/hc_o_32,secretFunction,hamming,1,multi_bitflip_reg_multi,3480,76800,4.531250
tpr/hc_o_32,secretFunction,hamming,1,single_bitflip_spatial,95,5960,1.593960
tpr/hc_o_32,secretFunction,hamming,2,multi_bitflip_reg,10,256,3.906250
tpr/hc_o_32,secretFunction,hamming,2,multi_bitflip_reg_multi,3746,79872,4.690004
tpr/hc_o_32,secretFunction,hamming,2,single_bitflip_spatial,85,6160,1.379870
tpr/hc_o_32,secretFunction,hamming,3,multi_bitflip_reg,10,256,3.906250
tpr/hc_o_32,secretFunction,hamming,3,multi_bitflip_reg_multi,4209,93184,4.516870
tpr/hc_o_32,secretFunction,hamming,3,single_bitflip_spatial,85,7520,1.130319
tpr/hc_o_32,secretFunction,secded,1,multi_bitflip_reg,5,256,1.953125
tpr/hc_o_32,secretFunction,secded,1,multi_bitflip_reg_multi,1294,79360,1.630544
tpr/hc_o_32,secretFunction,secded,1,single_bitflip_spatial,0,6160,0.000000
tpr/hc_o_32,secretFunction,secded,2,multi_bitflip_reg,5,256,1.953125
tpr/hc_o_32,secretFunction,secded,2,multi_bitflip_reg_multi,1367,83456,1.637989
tpr/hc_o_32,secretFunction,secded,2,single_bitflip_spatial,0,6440,0.000000
tpr/hc_o_32,secretFunction,secded,3,multi_bitflip_reg,5,256,1.953125
tpr/hc_o_32,secretFunction,secded,3,multi_bitflip_reg_multi,1684,105472,1.596632
tpr/hc_o_32,secretFunction,secded,3,single_bitflip_spatial,0,8480,0.000000
