register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
use_store_ops_ex_o,secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,hamming,1,multi_bitflip_reg_multi,126,5280,2.386364
use_store_ops_ex_o,secretFunction,hamming,1,single_bitflip_spatial,32,1208,2.649007
use_store_ops_ex_o,secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,hamming,2,multi_bitflip_reg_multi,151,5472,2.759503
use_store_ops_ex_o,secretFunction,hamming,2,single_bitflip_spatial,31,1248,2.483974
use_store_ops_ex_o,secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,hamming,3,multi_bitflip_reg_multi,64,6304,1.015228
use_store_ops_ex_o,secretFunction,hamming,3,single_bitflip_spatial,2,1520,0.131579
use_store_ops_ex_o,secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,hamming,4,multi_bitflip_reg_multi,64,7264,0.881057
use_store_ops_ex_o,secretFunction,hamming,4,single_bitflip_spatial,2,1816,0.110132
use_store_ops_ex_o,secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,hamming,5,multi_bitflip_reg_multi,64,7968,0.803213
use_store_ops_ex_o,secretFunction,hamming,5,single_bitflip_spatial,4,1920,0.208333
use_store_ops_ex_o,secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,secded,1,multi_bitflip_reg_multi,60,5440,1.102941
use_store_ops_ex_o,secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
use_store_ops_ex_o,secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,secded,2,multi_bitflip_reg_multi,76,5696,1.334270
use_store_ops_ex_o,secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
use_store_ops_ex_o,secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,secded,3,multi_bitflip_reg_multi,29,7072,0.410068
use_store_ops_ex_o,secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
use_store_ops_ex_o,secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,secded,4,multi_bitflip_reg_multi,19,8480,0.224057
use_store_ops_ex_o,secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
use_store_ops_ex_o,secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,secded,5,multi_bitflip_reg_multi,7,9216,0.075955
use_store_ops_ex_o,secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
use_store_ops_ex_o,secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
use_store_ops_ex_o,secretFunction,simple_parity,1,multi_bitflip_reg_multi,35,2624,1.333841
use_store_ops_ex_o,secretFunction,simple_parity,1,single_bitflip_spatial,29,1048,2.767176
use_store_ops_ex_o,secretFunction,wop,1,multi_bitflip_reg,1,16,6.250000
use_store_ops_ex_o,secretFunction,wop,1,multi_bitflip_reg_multi,173,2464,7.021104
use_store_ops_ex_o,secretFunction,wop,1,single_bitflip_spatial,147,1008,14.583333
