register_pair,successful_simulations,total_simulations,success_rate,success_rate_percent
alu_operator_o_mode + id_stage/hc_o,304,2208,0.13768115942028986,13.768115942028986
alu_operator_o_mode + alu_operator_o_mode/hc_o,164,1216,0.13486842105263158,13.486842105263158
alu_operator_o_mode + hc_o_26,282,2208,0.12771739130434784,12.771739130434783
alu_operator_o_mode + sp_o_26,10,80,0.125,12.5
csr_group12/hc_o + csr_group20/hc_o,71,608,0.11677631578947369,11.677631578947368
csr_group15/hc_o + csr_group20/hc_o,71,608,0.11677631578947369,11.677631578947368
csr_group20/hc_o + id_group0/hc_o,65,608,0.1069078947368421,10.69078947368421
alu_operator_o_mode + tcr_load_store/hc_o,63,608,0.10361842105263158,10.361842105263158
tcr_load_store/hc_o + tpr_load_store_mode/hc_o,121,1168,0.1035958904109589,10.35958904109589
tcr_load_store/hc_o + tpr_load_store_enable/hc_o,121,1168,0.1035958904109589,10.35958904109589
csr_group20/hc_o + hc_o_rf_tag,442,4288,0.10307835820895522,10.307835820895523
csr_group20/hc_o + id_group1/hc_o,62,608,0.10197368421052631,10.197368421052632
alu_operator_o_mode/hc_o + tcr_load_store/hc_o,119,1168,0.10188356164383562,10.188356164383562
csr_group20/hc_o + regfile_alu_waddr_ex_o_tag,224,2208,0.10144927536231885,10.144927536231885
rf_reg[15] + sp_o_rf_tag,4,40,0.1,10.0
csr_group20/hc_o + rdata_q_tag,112,1152,0.09722222222222222,9.722222222222223
csr_group20/hc_o + id_group2/hc_o,59,608,0.09703947368421052,9.703947368421053
csr_group20/hc_o + id_group4/hc_o,59,608,0.09703947368421052,9.703947368421053
csr_group20/hc_o + id_group5/hc_o,59,608,0.09703947368421052,9.703947368421053
tcr_load_store/hc_o + use_store_ops_ex_o/hc_o,57,608,0.09375,9.375
csr_group20/hc_o + id_group3/hc_o,57,608,0.09375,9.375
hc_o_rf_tag + rf_reg[15],1000,10720,0.09328358208955224,9.328358208955224
store_dest_addr_ex_o_tag/hc_o + tcr_load_store/hc_o,56,608,0.09210526315789473,9.210526315789473
check_s1_o_tag/hc_o + tcr_load_store/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group0/hc_o + csr_group20/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group1/hc_o + csr_group20/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group2/hc_o + csr_group20/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + csr_group3/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + csr_group4/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + csr_group5/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + csr_group6/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + csr_group7/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + csr_group8/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + csr_group9/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group10/hc_o + csr_group20/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group11/hc_o + csr_group20/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group13/hc_o + csr_group20/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group16/hc_o + csr_group20/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + lsu_group2/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + lsu_group3/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + lsu_group4/hc_o,56,608,0.09210526315789473,9.210526315789473
csr_group20/hc_o + lsu_group5/hc_o,56,608,0.09210526315789473,9.210526315789473
register_set_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
store_dest_addr_ex_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
store_source_ex_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + use_store_ops_ex_o,28,304,0.09210526315789473,9.210526315789473
alu_operand_a_ex_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[0] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[1] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[2] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[3] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[4] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[5] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[6] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[7] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[8] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[9] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[10] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[11] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[12] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
alu_operand_b_ex_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[13] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[14] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[15] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[16] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
