register,successful_simulations,total_simulations,success_rate,success_rate_percent
csr_group20/hc_o,3525,42592,0.08276202103681443,8.276202103681443
tcr_load_store/hc_o,6000,74096,0.08097603109479594,8.097603109479595
tpr_load_store_mode/hc_o,2474,74096,0.03338911682142086,3.338911682142086
alu_operator_o_mode,6097,182848,0.03334463598179909,3.334463598179909
tpr_load_store_enable/hc_o,2449,74096,0.03305171669185921,3.305171669185921
csr_group12/hc_o,2633,80504,0.03270644936897545,3.270644936897545
csr_group15/hc_o,2628,80504,0.032644340653880555,3.2644340653880555
rf_reg[15],2665,91856,0.029012802647622366,2.9012802647622364
tpr/hc_o_32,16090,560400,0.02871163454675232,2.871163454675232
alu_operator_o_mode/hc_o,3917,136608,0.028673284141485126,2.8673284141485125
hc_o_26,4767,168792,0.02824185980378217,2.824185980378217
id_stage/hc_o,4955,176440,0.028083201088188618,2.8083201088188616
tcr/hc_o_32,14768,560400,0.02635260528194147,2.6352605281941472
id_group0/hc_o,1719,80504,0.02135297624962735,2.135297624962735
use_store_ops_ex_o/hc_o,1155,72416,0.015949513919575786,1.5949513919575786
check_s1_o_tag/hc_o,1145,72416,0.01581142288996907,1.581142288996907
store_dest_addr_ex_o_tag/hc_o,1143,72416,0.015783804684047723,1.5783804684047724
alu_operand_b_ex_o_tag/hc_o,1119,72416,0.015452386212991604,1.5452386212991605
alu_operand_a_ex_o_tag/hc_o,1113,72416,0.015369531595227574,1.5369531595227575
id_group1/hc_o,1233,80504,0.015316009142402862,1.5316009142402862
id_group2/hc_o,1207,80504,0.01499304382390937,1.499304382390937
use_store_ops_ex_o,1116,91856,0.012149451315101898,1.2149451315101898
check_s1_o_tag,1100,91856,0.011975265633164953,1.1975265633164953
store_dest_addr_ex_o_tag,1086,91856,0.011822853161470127,1.1822853161470126
alu_operand_b_ex_o_tag,1048,91856,0.011409162166869883,1.1409162166869884
alu_operand_a_ex_o_tag,1036,91856,0.011278522905417174,1.1278522905417174
lsu_reg/hc_o,528,47056,0.011220673240394424,1.1220673240394423
id_group4/hc_o,859,80504,0.010670277253304184,1.0670277253304183
id_group5/hc_o,746,80504,0.009266620292159395,0.9266620292159395
id_group3/hc_o,735,80504,0.00912998111895061,0.9129981118950611
hc_o_rf_tag,17584,1966592,0.008941356417599583,0.8941356417599583
hc_o_5,2867,346944,0.008263581442538278,0.8263581442538278
regfile_alu_waddr_ex_o_tag,8501,1174352,0.007238885785522569,0.723888578552257
store_source_ex_o_tag,616,91856,0.0067061487545723745,0.6706148754572374
alu_operand_c_ex_o_tag,609,91856,0.006629942518724961,0.6629942518724962
ex_stage/hc_o,180,27360,0.006578947368421052,0.6578947368421052
is_store_post_o_tag,581,91856,0.006325117575335307,0.6325117575335307
check_d_o_tag,570,91856,0.006205364919003658,0.6205364919003657
rdata_q_tag,3840,639232,0.006007208650380457,0.6007208650380457
id_stage/sd_o,42,7016,0.0059863169897377425,0.5986316989737742
data_we_q_tag,547,91856,0.0059549730012192995,0.5954973001219299
rs1_o_tag,536,91856,0.00583522034488765,0.583522034488765
sd_o_26,39,6704,0.005817422434367542,0.5817422434367542
memory_set_o_tag,533,91856,0.005802560529524473,0.5802560529524473
rdata_offset_q_tag,1058,182848,0.005786226811340567,0.5786226811340567
rf_reg[3],531,91856,0.005780787319282355,0.5780787319282354
rf_reg[6],531,91856,0.005780787319282355,0.5780787319282354
rf_reg[9],531,91856,0.005780787319282355,0.5780787319282354
rf_reg[16],531,91856,0.005780787319282355,0.5780787319282354
rf_reg[19],531,91856,0.005780787319282355,0.5780787319282354
rf_reg[20],531,91856,0.005780787319282355,0.5780787319282354
rf_reg[22],531,91856,0.005780787319282355,0.5780787319282354
rf_reg[25],531,91856,0.005780787319282355,0.5780787319282354
check_s2_o_tag,527,91856,0.005737240898798119,0.5737240898798118
data_type_q_tag,1047,182848,0.005726067553377669,0.5726067553377668
tpr_q,3078,540672,0.005692915482954545,0.5692915482954545
register_set_o_tag,521,91856,0.005671921268071764,0.5671921268071765
rf_reg[4],521,91856,0.005671921268071764,0.5671921268071765
rf_reg[5],521,91856,0.005671921268071764,0.5671921268071765
rf_reg[7],521,91856,0.005671921268071764,0.5671921268071765
rf_reg[10],521,91856,0.005671921268071764,0.5671921268071765
rf_reg[12],521,91856,0.005671921268071764,0.5671921268071765
rf_reg[18],521,91856,0.005671921268071764,0.5671921268071765
rf_reg[21],521,91856,0.005671921268071764,0.5671921268071765
rf_reg[24],521,91856,0.005671921268071764,0.5671921268071765
rf_reg[0],517,91856,0.005628374847587528,0.5628374847587528
rf_reg[11],511,91856,0.005563055216861174,0.5563055216861174
rf_reg[14],511,91856,0.005563055216861174,0.5563055216861174
rf_reg[17],511,91856,0.005563055216861174,0.5563055216861174
rf_reg[23],511,91856,0.005563055216861174,0.5563055216861174
rf_reg[28],511,91856,0.005563055216861174,0.5563055216861174
rf_reg[30],511,91856,0.005563055216861174,0.5563055216861174
rf_reg[31],511,91856,0.005563055216861174,0.5563055216861174
rf_reg[8],505,91856,0.00549773558613482,0.549773558613482
rf_reg[26],501,91856,0.0054541891656505834,0.5454189165650584
rf_reg[27],501,91856,0.0054541891656505834,0.5454189165650584
rf_reg[29],501,91856,0.0054541891656505834,0.5454189165650584
sp_o_26,20,3688,0.005422993492407809,0.5422993492407809
